DOI,Title,Publication Date,Description,Creators,type,License,URL
10.5281/zenodo.1320150,KGloVe DBpedia predicate frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a predicate frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.<br> &nbsp;","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320150
10.5281/zenodo.1320211,RDF2Vec DBpedia predicate object frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a predicate object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320211
10.5281/zenodo.1320169,KGloVe DBpedia Page Rank split frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a Page Rank split frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320169
10.5281/zenodo.1320015,RDF2Vec DBpedia object frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320015
10.5281/zenodo.1320038,RDF2Vec DBpedia Page Rank embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a Page Rank weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279<br> &nbsp;","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320038
10.5281/zenodo.1320013,RDF2Vec DBpedia inverse predicate object frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a inverse predicate object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320013
10.5281/zenodo.1320001,RDF2Vec DBpedia inverse object frequency embeddings,2017-06-19,"This dataset contains the vectors from computing rdf2vec embeddings from a inverse object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320001
10.5281/zenodo.2017356,RDF2Vec DBpedia uniform embeddings in HDF5 file format,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a uniformly weighted DBpedia 2016-04 graph.  The file has a group called &quot;Vectors&quot; which contains a dataset for each entity in the graph. The dataset name is the entity name and the dataset content&nbsp;is the embedded vector&nbsp;(length 200).  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In <em>Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics</em> (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/2017356
10.5281/zenodo.1320018,KGloVe DBpedia inverse object frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In&nbsp;The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320018
10.5281/zenodo.1320167,KGloVe DBpedia Page Rank frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a Page Rank frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320167
10.5281/zenodo.1320005,RDF2Vec DBpedia inverse page rank split embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a inverse page rank split weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320005
10.5281/zenodo.1320152,KGloVe DBpedia inverse predicate frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse predicate frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320152
10.5281/zenodo.1320007,RDF2Vec DBpedia inverse predicate frequency embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a&nbsp;inverse predicate frequency&nbsp;weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320007
10.5281/zenodo.1320028,KGloVe DBpedia inverse object split embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse object split weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320028
10.5281/zenodo.1320042,RDF2Vec DBpedia Page Rank split embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a Page Rank split weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320042
10.5281/zenodo.1320030,KGloVe DBpedia inverse Page Rank embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse Page Rank weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320030
10.5281/zenodo.1318146,RDF2Vec DBpedia uniform embeddings,2017-06-19,"This dataset contains the vectors from computing RDF2vec embeddings from a uniformly weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Biased graph walks for RDF graph embeddings. In <em>Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics</em> (WIMS &#39;17). ACM, New York, NY, USA, Article 21, 12 pages. DOI: https://doi.org/10.1145/3102254.3102279","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1318146
10.5281/zenodo.1320159,KGloVe DBpedia inverse predicate object frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse predicate object frequency&nbsp;weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320159
10.5281/zenodo.1320165,KGloVe DBpedia object frequency embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a object frequency weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320165
10.5281/zenodo.1320032,KGloVe DBpedia inverse Page Rank split embeddings,2017-10-21,"This dataset contains the vectors from computing KGloVe embeddings from a inverse Page Rank split&nbsp;weighted DBpedia 2016-04 graph.  For each entity in the graph, the text file in the zip archive contains a line with the entity name and the embedded vector.  The parameter settings for the embedding are as specified in the paper:  Michael Cochez, Petar Ristoski, Simone Paolo Ponzetto, and Heiko Paulheim. 2017. Global RDF Vector Space Embeddings. In The Semantic Web &ndash; ISWC 2017: 16th International Semantic Web Conference, Vienna, Austria, October 21&ndash;25, 2017, Proceedings, Part I.","Cochez, Michael, Ristoski, Petar, Ponzetto, Simone Paulo, Paulheim, Heiko",dataset,cc-by-sa-4.0,https://zenodo.org/records/1320032
