Title,DOI,URL,Description,Published At,Source,Authors,License
Replication Data for: The legislative consequences of internal conflict and inter-party divisions,doi:10.7910/DVN/PFQWRM,https://doi.org/10.7910/DVN/PFQWRM,"Governments must respond quickly to pressing economic and societal problems. However, institutional rules, public opinion and unanticipated world events often delay the legislative process. Building on theories of legislative decisionmaking and intra-party politics, this paper shows that the speed at which bills pass is also driven by the governing party’s internal cohesiveness and its ideological distance to the opposition. Governing parties that are internally divided have greater difficulty in forming the legislative majorities necessary to pass laws quickly, especially if their preferences are further away from the opposition. I test these hypotheses using a novel collection of laws passed in the UK Parliament and conference speeches given by Labour and Conservative party members over a 10-year period. I use automated text classification techniques to determine the relative location of actors’ preferences and the level of intra-party disagreement. I then predict the duration of lawmaking based on the government’s recent internal level of conflict and its distance to the opposition. The results complement mounting evidence that parties’ internal policy divisions hold important implications for parties’ performance in government.",2015-05-25T19:26:47Z,Harvard Dataverse,"Haber, Matthias",http://creativecommons.org/publicdomain/zero/1.0
"Reproduction files for ""Deliberative Qualities of Generic News Frames""",doi:10.7910/DVN/0QXYPF,https://doi.org/10.7910/DVN/0QXYPF,"This repository contains the information needed to reproduce all analyses reported in the article ""Deliberative Qualities of Generic News Frames: Assessing the Democratic Value of Strategic Game and Contestation Framing in Election Campaign Coverage"" (Political Communication, 2013, Vol. 30). The study examines the associations of strategic game frames and contestation frames with civility, reason-giving, and actor inclusiveness in election campaign television news. The files include the SPSS syntax file and content-analytical data (covering all news items mentioning the 2009 German federal election in all 112 nightly newscasts aired in the four main news bulletins of the four major television channels in the 4 weeks preceding the election). Executing the syntax file will reproduce the hierarchical loglinear analysis and additional analyses.",2020-11-26T04:56:57Z,Harvard Dataverse,"Rinke, Eike Mark",http://creativecommons.org/publicdomain/zero/1.0
"Reproduction files for ""The Impact of Sound-Bite Journalism on Public Argument""",doi:10.7910/DVN/8OTWJG,https://doi.org/10.7910/DVN/8OTWJG,"This repository contains the data and code to reproduce all analyses and figures in the article ""The Impact of Sound-Bite Journalism on Public Argument"" examining the association of the length of opinion utterances in television news with acts of opinion justification. The files include the Stata syntax file and analyzed content-analytical data (constructed-weeks data for 11 news programs in Germany, Russia, and the US). Executing the syntax file will reproduce all analyses and figures in the article.",2016-07-19T19:05:31Z,Harvard Dataverse,"Rinke, Eike Mark",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for Gendered discrimination against immigrants,doi:10.7910/DVN/G0W9MH,https://doi.org/10.7910/DVN/G0W9MH,"This dataset includes all the variables necessary to replicate the data analysis of our manuscript ""Gendered discrimination against immigrants: experimental evidence"".",2020-06-27T11:03:03Z,Harvard Dataverse,"Gereke, Johanna",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Climate Change Literacy and Migration Potential: Micro-Level Evidence from Africa,doi:10.7910/DVN/3LRAFL,https://doi.org/10.7910/DVN/3LRAFL,Contains .do and .dta files for replication.,2021-11-03T11:29:14Z,Harvard Dataverse,"Helbling, Marc",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Die „Sonntagsfrage“, Soziale Erwünschtheit und die AfD: Wie alternative Messmethoden der Politikwissenschaft Weiterhelfen Können",doi:10.7910/DVN/W4XWVU,https://doi.org/10.7910/DVN/W4XWVU,"Die Wahlabsichtsfrage, populärwissenschaftlich auch als „Sonntagsfrage“ bezeichnet, wird kritisiert, weil mit ihr der Stimmenanteil der „Alternative für Deutschland“ (AfD) nicht valide zu messen sei. Wir argumentieren, dass alternative Messinstrumente, die Verzerrungen aufgrund von sozialer Erwünschtheit berücksichtigen, besser geeignet sind. Dazu testen wir erstmalig drei alternative Messmethoden — das doppelte Listenexperiment, die kreuzweise Randomisierte-Antwort-Technik und die Weisheit-der-Vielen-Methode — hinsichtlich des geschätzten AfD-Stimmenanteils und vergleichen sie mit der klassischen „Sonntagsfrage“. Unsere Ergebnisse zeigen, dass insbesondere die Weisheit-der-Vielen-Methode eine kostengünstige und gute Erweiterung der politikwissenschaftlichen Fragebatterie ist.",2020-03-30T13:43:14Z,Harvard Dataverse,"Gschwend, Thomas; Juhl, Sebastian; Lehrer, Roni",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for Immigration, Integration and Cooperation: Experimental Evidence from a Public Goods Game in Italy",doi:10.7910/DVN/4LGSOY,https://doi.org/10.7910/DVN/4LGSOY,"This data set contains all the variables to duplicate the figures and tables of the article Immigration, Integration and Cooperation: Experimental Evidencefrom a Public Goods Game in Italy appearing in Journal of Ethnic and Migration Studies.",2021-06-30T16:14:30Z,Harvard Dataverse,"Gereke, Johanna",http://creativecommons.org/publicdomain/zero/1.0
"Replication materials for: Schoen, Harald. 2022. Ein halber Regierungswechsel nach einer politischen Achterbahnfahrt. Eine Analyse der öffentlichen Meinung zur vierten Regierung Merkel und des Wahlverhaltens bei der Bundestagswahl 2021, in: R. Zohlnhöfer/F.Engler (eds.), Das Ende der Merkel-Jahre. Wiesbaden: Springer.",doi:10.7910/DVN/ECLKVQ,https://doi.org/10.7910/DVN/ECLKVQ,Analysis of retrospective voting in the 2021 German federal election,2022-10-20T08:49:21Z,Harvard Dataverse,"Schoen, Harald",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Maxwell, Helbling, Munzert & Traunmueller: The importance of citizenship for deserving COVID-19 treatment.",doi:10.7910/DVN/3KBY7Y,https://doi.org/10.7910/DVN/3KBY7Y,"Replication materials for the article ""The importance of citizenship for deserving COVID-19 treatment"" (Rahsaan Maxwell, Marc Helbling, Simon Munzert, and Richard Traunmüller) to appear in: Humanities and Social Sciences Communications.",2022-08-04T06:52:05Z,Harvard Dataverse,"Traunmueller, Richard",http://creativecommons.org/publicdomain/zero/1.0
"Reproduction files for: Determinanten der Bevölkerungseinstellungen zum Afghanistaneinsatz. Prädispositionen, Erfolgswahrnehmungen und die moderierende Wirkung individueller Mediennutzung",doi:10.7910/DVN/2N8J92,https://doi.org/10.7910/DVN/2N8J92,Code to reproduce all findings reported in the paper. Data is available upon request.,2018-01-03T11:51:44Z,Harvard Dataverse,"Mader, Matthias; Fiebig, Rüdiger",http://creativecommons.org/publicdomain/zero/1.0
Reproduction files for: Grundhaltungen zur Außen- und Sicherheitspolitik in Deutschland,doi:10.7910/DVN/9IXMM1,https://doi.org/10.7910/DVN/9IXMM1,"Code to reproduce all findings reported in the paper. Data are publicly available for download; see instructions in ""readme.txt"".",2018-01-03T11:50:35Z,Harvard Dataverse,"Mader, Matthias",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Former Social Democratic Partisanship, Working-Class Background, and Support for Right-Wing Populist Parties: A Research Note",doi:10.7910/DVN/V46QHM,https://doi.org/10.7910/DVN/V46QHM,"The do-files presents the coding and empirical strategy for the results presented in the research article ""Former Social Democratic Partisanship, Working-Class Background, and Support for Right-Wing Populist Parties: A Research Note."" Politische Vierteljahresschrift/German Political Science Quarterly. https://link.springer.com/article/10.1007/s11615-025-00604-y",2025-04-04T13:07:00Z,Harvard Dataverse,"Debus, Marc",http://creativecommons.org/publicdomain/zero/1.0
"Replication data for: Governments, Parliaments, and Legislative Activity",doi:10.7910/DVN/27333,https://doi.org/10.7910/DVN/27333,"Various strands of literature in comparative politics suggest that there is a differential impact of the type of government and their supporting legislative coalitions in parliamentary democracies, e.g. in terms of their size and ideological heterogeneity, on their potential to induce policy change. Most studies in this area focus on governments as agenda-setters, possibly neglecting the role of parliaments as a further key actor in policy-making. In this article, we address the broader question as to how patterns of conflict within parliament effect legislative activity of governments and parliamentary actors. Through a simultaneous analysis of the success and event history of over 12,000 legislative bills in three parliamentary systems and one semi-presidential system from 1986 until 2003, we show how the interplay of actor motivations and institutional settings has a discriminating impact on the potential of both the government and parliament to induce policy change.",2015-05-30T19:35:53Z,Harvard Dataverse,"Bräuninger, Thomas; Debus, Marc; Wüst, Fabian",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: 'LinkedOut? A Field Experiment on Discrimination in Job Network Formation',doi:10.7910/DVN/UNFGRS,https://doi.org/10.7910/DVN/UNFGRS,"The data and programs replicate tables and figures from ""LinkedOut? A Field Experiment on Discrimination in Job Network Formation,"" by Evsyukova, Rusche, and Mill. Please see the ReadMe file for additional details.",2024-10-19T19:21:58Z,Harvard Dataverse,"Evsyukova, Yulia; Rusche, Felix; Mill, Wladislaw",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: Estimating Party Positions across Countries and Time - A Dynamic Latent Variable Model for Manifesto Data,doi:10.7910/DVN/669Z5L,https://doi.org/10.7910/DVN/669Z5L,"This article presents a new method for estimating positions of political par- ties across country- and time-specific contexts by introducing a latent variable model for manifesto data. We estimate latent positions and exploit bridge ob- servations to make the scales comparable. We also incorporate expert survey data as prior information in the estimation process to avoid ex post facto in- terpretation of the latent space. To illustrate the empirical contribution of our method we estimate the left-right positions of more than 388 European parties competing in 238 elections across 25 countries and over 60 years. Compared to the puzzling volatility of existing estimates, we find that parties more mod- estly change their left-right positions over time. We also show that estimates without country- and time-specific bias parameters risk serious, systematic bias in about two thirds of our data. This suggests that researchers should carefully consider the comparability of party positions across countries and/or time.",2014-10-02T00:00:00Z,Harvard Dataverse,"Konig, Thomas; Marbach, Moritz; Osnabrugge, Moritz",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Spoilers of peace: Pro-government militias as risk factors for conflict recurrence,doi:10.7910/DVN/DGOQWH,https://doi.org/10.7910/DVN/DGOQWH,"Replication data for the article Steinert, Christoph V, Janina I Steinert, and Sabine C Carey. 2019. “Spoilers of Peace: Pro-Government Militias as Risk Factors for Conflict Recurrence.” Journal of Peace Research 56(2): 249-263.",2020-05-18T20:08:13Z,Harvard Dataverse,"Carey, Sabine; Steinert, Christoph; Steinert, Christoph Valentin; Steinert, Janina",http://creativecommons.org/publicdomain/zero/1.0
Reproduction files for: Alles eine Frage des Blickwinkels? Framing-Effekte und Bevölkerungsurteile über einen möglichen Bundeswehreinsatz in Libyen,doi:10.7910/DVN/QFRIOV,https://doi.org/10.7910/DVN/QFRIOV,Code to reproduce all findings reported in the paper. Data is available upon request.,2018-01-03T11:45:48Z,Harvard Dataverse,"Mader, Matthias; Schoen, Harald",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: How Cross-Validation Can Go Wrong and What to Do About it.,doi:10.7910/DVN/Y9KMJW,https://doi.org/10.7910/DVN/Y9KMJW,"The introduction of new “machine learning” methods and terminology to political science complicates the interpretation of results. Even more so, when one term – like cross-validation – can mean very different things. We find different meanings of cross-validation in applied political science work. In the context of predictive modeling, cross-validation can be used to obtain an estimate of true error or as a procedure for model tuning. Using a single cross-validation procedure to obtain an estimate of the true error and for model tuning at the same time leads to serious misreporting of performance measures. We demonstrate the severe consequences of this problem with a series of experiments. We also observe this problematic usage of cross-validation in applied research. We look at Muchlinski et al. (2016) on the prediction of civil war onsets to illustrate how the problematic cross-validation can affect applied work. Applying cross-validation correctly, we are unable to reproduce their findings. We encourage researchers in predictive modeling to be especially mindful when applying cross-validation.",2018-07-19T20:27:47Z,Harvard Dataverse,"Neunhoeffer, Marcel; Sternberg, Sebastian",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Gender Disparities in Attention to Cardiovascular Research,doi:10.7910/DVN/OAYQA8,https://doi.org/10.7910/DVN/OAYQA8,Replication data and replication code for: Gender Disparities in Attention to Cardiovascular Research,2023-06-26T21:21:25Z,Harvard Dataverse,"Schmallenbach, Leo",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Negative campaign statements, coalition heterogeneity, and the support for government parties",doi:10.7910/DVN/DZRYB0,https://doi.org/10.7910/DVN/DZRYB0,"This data replicates the findings in Debus, Marc/Or Tuttnauer. Forthcoming 2024. Negative campaign statements, coalition heterogeneity, and the support for government parties. Electoral Studies, https://doi.org/10.1016/j.electstud.2023.102738.",2024-01-08T13:52:55Z,Harvard Dataverse,"Debus, Marc; Tuttnauer, Or",http://creativecommons.org/publicdomain/zero/1.0
Process or Candidate: The International Community and the Demand for Electoral Integrity,doi:10.7910/DVN/YFPCBP,https://doi.org/10.7910/DVN/YFPCBP,"Replication codes for STATA and MATLAB of all graphs and tables, including the dataset of the pilot study.",2017-03-31T07:23:55Z,Harvard Dataverse,"Bubeck, Johannes; Marinov, Nikolay",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Preißinger, Maria and Schoen, Harald (2018): Entity and incremental theory of personality: Revisiting the validity of indicators. Personality and Individual Differences 130: 21-25.",doi:10.7910/DVN/BQPP7Z,https://doi.org/10.7910/DVN/BQPP7Z,Full replication material,2018-04-09T09:21:42Z,Harvard Dataverse,"Preißinger, Maria",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Preißinger, Maria and Schoen, Harald (2016): It's not always the campaign - Explaninig inter-election switching in Germany, 2009-2013. Electoral Studies 44: 109-119.",doi:10.7910/DVN/RGAMLS,https://doi.org/10.7910/DVN/RGAMLS,Full replication material,2017-08-23T13:34:35Z,Harvard Dataverse,"Preißinger, Maria",http://creativecommons.org/publicdomain/zero/1.0
"Reproduction files for: Conceptions of national identity, turnout and party preference",doi:10.7910/DVN/JLOQ6V,https://doi.org/10.7910/DVN/JLOQ6V,"Code and data to reproduce all findings reported in the paper. For more information see ""readme.txt""",2020-08-02T17:12:02Z,Harvard Dataverse,"Mader, Matthias; Maria Pesthy; Harald Schoen",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Constructive and Destructive Legislative Review: The Government-Opposition Divide in Parliamentary Oversight,doi:10.7910/DVN/DQ1WFB,https://doi.org/10.7910/DVN/DQ1WFB,"There is growing interest in the policy impact of legislatures in parliamentary systems. While scholars have shown that coalition parties rely on legislative amendments to police deviations from the coalition compromise, there are notable gaps in our understanding of legislative review, most importantly, regarding the substance of amendments. Introducing the concepts constructive and destructive legislative review, we identify distinct patterns of legislative review by government and opposition parties. Based on the notion of collective cabinet responsibility, we argue that coalition parties are bound by informal rules that limit them to the labor-intensive redrafting of bills (constructive review). Conversely, opposition parties take a low-cost approach by proposing to strike out bill sections (destructive review). We provide empirical support for our hypotheses by analyzing an original dataset of counterfactual bills from a German state legislature. The results improve our understanding of opposition strategies in legislative review and control mechanisms within coalition governments.",2022-03-11T19:09:00Z,Harvard Dataverse,"Behrens, Lion",http://creativecommons.org/publicdomain/zero/1.0
PGMD country-year dataset version 1.1-2017,doi:10.7910/DVN/UUHRS4,https://doi.org/10.7910/DVN/UUHRS4,"This is the country-year dataset of the Pro-Government Militias Database (PGMD), version 1.1-2017. This version contains new presence variables based on a new coding role for the termination date of a PGM. Please read our ""Notes Version 1.1-2017"" file for this new coding rule. The updated PGMD country-year dataset version 1.1-2017 includes both the old presence variables and the newly generated ones.",2017-05-18T09:14:20Z,Harvard Dataverse,"Carey, Sabine",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Precarious work and challenger parties: how precarity influenced vote choice in the 2018 Italian election,doi:10.7910/DVN/YFGXQ3,https://doi.org/10.7910/DVN/YFGXQ3,"Across Western European democracies, the last 20 years have seen a growth of precarious employment and the rise of challenger parties. Both trends are especially marked in Italy, where occupational insecurity has become the norm and over half of the electorate has turned to a challenger party. In this article, I investigate the relationship between these two phenomena, addressing the question of whether and how precarity in the labor market influenced vote choice in the 2018 general election. First, I provide descriptive evidence that the Italian labor market shifted from dualism to generalized precarization. Second, I empirically investigate the relationship between precarity and voting in this context. The results show that the perception of precarity, not formal employment status, influenced voting behavior: it fostered participation, increased support for the Five Star Movement, and decreased support for the Democratic Party. These findings challenge core assumptions in the literature, first and foremost about precarious workers’ low turnout rate, difficult mobilization and consequent political irrelevance. They indicate that the electoral weight of precarious workers has increased, and their representation can be electorally beneficial.",2023-10-05T09:27:36Z,Harvard Dataverse,"Girardi, Elisabetta",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Sometimes Less Is More: Censorship, News Falsification, and Disapproval in 1989 East Germany",doi:10.7910/DVN/AZFHYN,https://doi.org/10.7910/DVN/AZFHYN,"Does more media censorship imply more regime stability? We argue that censorship may cause mass disapproval for censoring regimes. In particular, we expect that censorship backfires when citizens can falsify media content through alternative sources of information. We empirically test our theoretical argument in an autocratic regime---the German Democratic Republic (GDR). Results demonstrate how exposed state censorship on the country's emigration crisis fueled outrage in the weeks before the 1989 revolution. Combining original weekly approval surveys on GDR state television and daily content data of West German news programs with a quasi-experimental research design, we show that recipients disapproved of censorship if they were able to detect misinformation through conflicting reports on Western television. Our findings have important implications for the study of censoring systems in contemporary autocracies, external democracy promotion, and campaigns aimed at undermining trust in traditional journalism.",2019-11-25T14:28:48Z,Harvard Dataverse,"Gläßel, Christian; Paula, Katrin",N/A
"Replication Data for: Preißinger, Maria and Meyer, Marco (2015): Einstellungszugänglichkeit im Laufe von Wahlkämpfen: Aktivierungseffekte im Kontext der Bundestagswahlen 2005, 2009 und 2013. Politische Viertelsjahresschrift. Sonderheft ""Politische Psychologie"": 439-464.",doi:10.7910/DVN/N4RSKE,https://doi.org/10.7910/DVN/N4RSKE,Full repliaction material,2017-08-24T13:27:30Z,Harvard Dataverse,"Preißinger, Maria",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: ""Bilateral or Multilateral? International Financial Flows and the Dirty-Work Hypothesis""",doi:10.7910/DVN/CGXPF5,https://doi.org/10.7910/DVN/CGXPF5,"Replication Data for: ""Bilateral or Multilateral? International Financial Flows and the Dirty-Work Hypothesis""",2023-01-17T17:02:46Z,Harvard Dataverse,"Lang, Valentin; Dreher, Axel; Rosendorff, B. Peter; Vreeland, James Raymond",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The potential of online sampling for studying political activists around the world and across time,doi:10.7910/DVN/346Y30,https://doi.org/10.7910/DVN/346Y30,"Parties and social movements play an important role in many theories of political science. Yet, the study of intra-party politics remains underdeveloped as random samples are difficult to conduct among political activists. This paper proposes a novel procedure to sample different parties over time and space by utilizing the advertising option of the social media webpage Facebook. As this method allows for quotas and the collection of large samples at relatively low cost, it becomes possible to improve the representativeness through post-stratification and subsample robustness checks. Three examples illustrate these advantages of Facebook sampling: First, a Facebook sample approximates intra-party decisions and the outcome of a leadership contest of the Alternative for Germany. Second, a weighted Facebook sample achieves similar estimates as a representative local leader survey of the Social Democratic Party of Germany. Third, by evaluating subgroups of key demographics for parties with unknown population parameters, two Facebook samples show that the color-coded conflict in Thailand is driven by different concepts of regime type, but not by a left-right divide on economic policy-making. Facebook sampling appears to be the best and cheapest method to conduct time-series cross-sectional studies for political activists.",2017-02-15T22:33:43Z,Harvard Dataverse,"Jäger, Kai",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: 'Bringing the World to the Classroom: Teaching Statistics and Programming in a Project-Based Setting',doi:10.7910/DVN/JQLNCT,https://doi.org/10.7910/DVN/JQLNCT,"This article introduces how to teach an interactive one-semester-long statistics and programming class. The setting can also be applied to shorter and longer classes as well as for beginner and advanced courses. I propose a project-based seminar that also inherits elements of an inverted classroom. Thanks to this character, the seminar supports the students' learning progress and can also create engaging virtual classes. To showcase how to apply a project-based seminar setting to teaching statistics and programming classes, I use an introductory class to data wrangling and management with the statistical software R. Students are guided through a typical data science workflow that requires data management, data wrangling, and ends with visualizing and presenting first research results during a mini-conference.",2021-07-26T18:17:53Z,Harvard Dataverse,"Meyer, Cosima",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Preißinger, Maria. 2017. Always late? Stability and Change in Individuals' Time of Vote Decision. In: Harald Schoen, Sigrid Roßteutscher, Rüdiger Schmitt-Beck, Bernhard Weßels & Christof Wolf. Voters & Voting in Context. Multiple Contexts & the Heterogeneous German Electorate. Oxford: Oxford University Press. 230-248.",doi:10.7910/DVN/UQ4SFE,https://doi.org/10.7910/DVN/UQ4SFE,This material replicates the analysis in Preißinger (2017).,2018-01-30T11:30:01Z,Harvard Dataverse,"Preißinger, Maria",http://creativecommons.org/publicdomain/zero/1.0
