filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
10778012221108420-1.pdf,10.1177/10778012221108420,"Halicki, Katharina T., Robin Hauser, and Michaela Wänke. ""Responsibility Attribution for Sexualized Violence Moderated by Rape Myth Acceptance and Benevolent Sexism."" Violence Against Women 29, no. 2 (2023): 300–320. doi:10.1177/10778012221108420",primary,Experiment,online study,authors,not applicable,,,
108590-Artikeltext-277698-1-10-20241217.pdf,https://doi.org/10.11588/hint.2024.1.108590,"Grönemann, Malte. ""Learning Statistics by Doing Sociology: Applying Inquiry-Based Learning in Undergraduate Methods Courses."" HINT – Heidelberg Inspirations for Innovative Teaching 5 (2024): 93–114. https://doi.org/10.11588/hint.2024.1.108590",primary,Interview,group interviews,the authors,not applicable,,,
1094428120911096.pdf,10.1177/1094428120911096,"Plieninger, Hansjo¨rg. ""Developing and Applying IR-Tree Models: Guidelines, Caveats, and an Extension to Multiple Groups."" Organizational Research Methods 24, no. 3 (2021): 654-670. doi:10.1177/1094428120911096",secondary,Self-administered questionnaire,5-point scale,not applicable,International Social Survey Programme (ISSP 2015—Work Orientations IV),,"This article is accompanied by an OSF repository, which contains the Mplus files of the reported analyses. It is available from https://osf.io/5tvsq.",https://osf.io/5tvsq
11672-42533-1-PB.pdf,10.3991/ijet.v15i03.11672,"Delcker, Jan and Dirk Ifenthaler. ""Mobile Game-Based Language Assessment."" iJET 15, no. 3 (2020): 195-196. https://doi.org/10.3991/ijet.v15i03.11672",primary,Recording,Wuschel App,authors,not applicable,,,
121-Article%20Text-305-2-10-20200129.pdf,10.25521/mapmac.2020.121,"Elter, W. Juliane. ""The rise of the to-dative: a language-contact approach to a phenomenon of structural language change."" Mannheim papers in multilingualism, acquisition and change 1, no. 1 (2020): 1–71. https://doi.org/10.25521/mapmac.2020.121",secondary,Automated data extraction,PPCME2,not applicable,PPCME2,,,
123-Artikeltext-281-1-10-20191105-1.pdf,,"Marion von Francken-Welz. ""Nachgefragt: Urheberrecht in der Lehre Änderungen durch Das URhwissg1"". Zeitarbeit, 2019, 1(1), 34.",no data,not applicable,not applicable,not applicable,not applicable,,,
127-Artikeltext-291-1-10-20191221.pdf,,"Kümper, Hiram. ""Lesen Lernen: Ein niedrigschwelliger Einstieg mit einem Druck aus dem 16. Jahrhundert."" ZEITARBEIT, 1, no. 1 (2019): 64.",no data,not applicable,not applicable,not applicable,not applicable,,,
128-Artikeltext-292-1-10-20191221.pdf,,"Kümper, Hiram. ""Medien der Weltbeschreibung im 16. Jahrhundert Teil 1: Kostüm- und Trachtenbücher."" ZEITARBEIT, 1 (1), 2019.",no data,not applicable,not applicable,not applicable,not applicable,,,
12864_2018_Article_5009.pdf,10.1186/s12864-018-5009-y,"Reimer, C., C.-J. Rubin, A. R. Sharifi, N.-T. Ha, S. Weigend, K.-H. Waldmann, O. Distl, S. D. Pant, M. Fredholm, M. Schlather, and H. Simianer. 2018. ""Analysis of porcine body size variation using re-sequencing data of miniature and large pigs."" BMC Genomics 19:687. https://doi.org/10.1186/s12864-018-5009-y",mixed,Measurements and tests,Illumina HighSeq2000,Science for Life laboratory at Uppsala University,"European Nucleotide Archive, Sequence Read Archive, Datadryad",10.5061/dryad.3jj7f,"The various datasets supporting the conclusions of this article are available in the European Nucleotide Archive or Sequence Read Archive and Datadryad: ENA accessions for FASTQ files of samples from Rubin et al. [8]: ERR173170, ERR173171, ERR173172, ERR173173, ERR173174, ERR173175, ERR173179, ERR173180, ERR173181, ERR173182, ERR173183, ERR173184, ERR173185, ERR173186, ERR173187, ERR173188, ERR173189, ERR173190, ERR173191, ERR173192, ERR173193, ERR173194, ERR173195, ERR173196, ERR173197, ERR173198, ERR173199, ERR173200, ERR173201, ERR173202, ERR173204, ERR173205, ERR173206, ERR173207, ERR173208, ERR173212, ERR173213, ERR173214, ERR173215, ERR173216, ERR173217, ERR173218, ERR173219, ERR173220, ERR173221, ERR173222, ERR173223, ERR173224; Wuzhishan Samples from Fang et al. [9]: SRR448575, SRR448588, SRR448589, SRR448591, inititially accessed through ftp://climb.genomics.cn/pub/10.5524/100001_101000/100031/reads/; SRA accessions for GMP samples from Vamathevan et al. [23]: SRR578029, SRR578191, SRR578192; ENA accessions for the GMP and Mini-LEWE data: PRJEB27654; F2 cross breeding data from Pant et al. [12]: http://datadryad. org/resource/doi:10.5061/dryad.3jj7f; SNP data from Gaerke et al. [6]: Please send inquiries to tierzucht@agr.uni-goettingen.de.",
12888_2018_Article_1799.pdf,10.1186/s12888-018-1799-3,"Crombach, Anselm, and Sebastian Siehl. 2018. ""Impact and cultural acceptance of the Narrative Exposure Therapy in the aftermath of a natural disaster in Burundi."" BMC Psychiatry 18:233. https://doi.org/10.1186/s12888-018-1799-3",primary,Interview,"PHQ-9, PSS-I, M.I.N.I., WTP",local psychology students from the University Lumière of Bujumbura,not applicable,,The datasets used and/or analyzed during the current study are available from the corresponding author on reasonable request.,
129-Artikeltext-293-1-10-20191221.pdf,,"Hiram Kümper, ""ZEITARBEIT Neue Literatur zum Dreißigjährigen Krieg,"" 1/2019, 128.",no data,not applicable,not applicable,not applicable,not applicable,,,
12_rn_10.25300_misq_2024_17759.pdf,10.25300/MISQ/2024/17759,"Pethig, Florian, Hartmut Hoehle, Kai-Lung Hui, and Andreas Lanz. ""Behavior Toward Newcomers and Contributions to Online Communities."" MIS Quarterly 49, no. 2 (June 2025): 731-758. doi:10.25300/MISQ/2024/17759.",primary,Automated data extraction,mydealz,authors,not applicable,,The interview guide is available at https://osf.io/t7awu. The Python code for text pre-processing is available at https://osf.io/e3huy. The annotation instruction (in English) provided to the research assistants is available at https://osf.io/t3fbh.,The Python code for text pre-processing is available at https://osf.io/e3huy.
130-Artikeltext-294-1-10-20191221.pdf,,"Editorial. 2019. ""ZEITARBEIT – WAS WIR SIND UND WAS WIR SEIN WOLLEN"". ZEITARBEIT, 1/2019, 4-5.",no data,not applicable,not applicable,not applicable,not applicable,,,
131-Article%20Text-231-1-10-20190925.pdf,10.3224/zff.v31i2.01,"Arránz Becker, Oliver, Małgorzata Mikucka, and Christof Wolf. ""Introduction to the Special Issue “Families, health, and well-being’"". Zeitschrift für Familienforschung/Journal of Family Research 31, no. 2 (2019): 132-135, https://doi.org/10.3224/zff.v31i2.01",no data,not applicable,not applicable,not applicable,not applicable,,,
131-Artikeltext-296-1-10-20191222.pdf,,"Kümper, Hiram. ""Warum sprechen momentan eigentlich alle über's Meer?"" Zeitarbeit, 1 (1), 2019: 68.",no data,not applicable,not applicable,not applicable,not applicable,,,
13247-46561-1-PB.pdf,,"Chan, Chung-Hong, Hartmut Wessler, Eike Mark Rinke, Kasper Welbers, Wouter van Atteveldt, and Scott Althaus. ""How Combining Terrorism, Muslim, and Refugee Topics Drives Emotional Tone in Online News: A Six-Country Cross-Cultural Sentiment Analysis."" International Journal of Communication 14 (2020): 3569–3594.",primary,Content coding,Figure Eight,crowdcoders,not applicable,,"We originally aimed at also studying anger, sadness, and joy, and we report the results for these three emotions in the online appendix (https://doi.org/10.17605/OSF.IO/A4DQP).",
1336-3997-1-PB.pdf,,"Kogan, Irena, Yuliya Kosyakova, and Frank van Tubergen. ""Staying, Leaving, or Returning? Conflict Resolution Preferences and Migration among Ukrainian Women."" Studies of Transition States and Societies 17 (2023).",primary,Self-administered questionnaire,"Meta ads (Facebook, Instagram, and Messenger)","Irena Kogan, Yuliya Kosyakova and Frank van Tubergen",not applicable,,Replication codes for data preparation and analyses are available at https://osf.io/jwyxq/.,https://osf.io/jwyxq/
1354066120923028.pdf,10.1177/1354066120923028,"Christian Glaößel, Belén González, and Adam Scharpf. ""Grist to the mill of subversion: strikes and coups in counterinsurgencies."" European Journal of International Relations 1–29, 2020. doi: 10.1177/1354066120923028",secondary,Compilation/Synthesis,not applicable,not applicable,"Powell and Thyne (2011), Banks (2008), Gleditsch (2002)",10.7910/DVN/LZHTBE,The data and materials required to reproduce the analyses and the the results in this article are available on the Harvard Dataverse Network: https://doi.org/10.7910/DVN/LZHTBE.,https://doi.org/10.7910/DVN/LZHTBE
1354068818812222.pdf,10.1177/1354068818812222,"Lehrer, Roni and Nick Lin. ""Everything to everyone? Not when you are internally divided."" Party Politics 26, no. 6 (2020): 783–794. doi:10.1177/1354068818812222",secondary,Self-administered questionnaire,11-point left-right continuum,not applicable,German Internet Panel (GIP),,Supplemental material for this article is available online.,
1354068820957960.pdf,10.1177/1354068820957960,"Sältzer, Marius. 2020. ""Finding the bird’s wings: Dimensions of factional conflict on Twitter."" Party Politics 1–10. doi:10.1177/1354068820957960",primary,Automated data extraction,Twitter API,Marius Sältzer,not applicable,,Supplemental material for this article is available online and at https://github.com/msaeltzer/birdfish/tree/master/partypolitics.,https://github.com/msaeltzer/birdfish/tree/master/partypolitics
13540688211060658-3.pdf,10.1177/13540688211060658,"Tuttnauer, Or and Gideon Rahat. 2023. ""Servants of two (or more) masters: Accounting for the complexity of intraparty candidate selection methods."" Party Politics 29 (1): 185–192. doi:10.1177/13540688211060658.",secondary,Content coding,data-coding scheme,not applicable,Political Party Database Project (PPDB R2),,Supplemental material for this article is available online.,
1367-6891-1-PB.pdf,10.3982/QE1079,"Gerard, François, Miikka Rokkanen, and Christoph Rothe. ""Bounds on treatment effects in regression discontinuity designs with a manipulated running variable."" Quantitative Economics 11 (2020): 839–870. https://doi.org/10.3982/QE1079",secondary,Aggregation,administrative data sets,not applicable,registry of all UI payments and longitudinal matched employee-employer data set,,"Gerard, F., M. Rokkanen, and C. Rothe (2020), “Supplement to ‘Bounds on treatment effects in regression discontinuity designs with a manipulated running variable’.—Quantitative Economics Supplemental Material, 11, https://doi.org/10.3982/QE1079.",
1367006921996811.pdf,10.1177/1367006921996811,"Kieseier, Teresa. ""Bilingual advantage in early EFL pronunciation accuracy of German 4th-graders."" International Journal of Bilingualism 25, no. 3 (2021): 708–726. doi:10.1177/1367006921996811",primary,Measurements and tests,"parental questionnaire, BPVS, TROG, CFT-20R, Simon task, picture-naming task",trained research assistants,not applicable,,,
14491-Article-138867-1-10-20250203.pdf,10.32872/cpe.14491,"Semmlinger, Verena, Keisuke Takano, Larissa Wolkenstein, Antje Krüger-Gottschalk, Sascha Kuck, Anne Dyer, Andre Pittig, Georg W. Alpers, and Thomas Ehring. ""Dropout From Trauma-Focused Treatment for PTSD in a Naturalistic Setting."" Clinical Psychology in Europe 7, no. 1 (2025): e14491. https://doi.org/10.32872/cpe.14491",secondary,Measurements and tests,"SCID, PCL-5, CTQ-28, IIP-32, DES, PTCI, IPSI, DERS, CAPS-5",not applicable,two parent studies,10.23668/psycharchives.15955,"Data Availability: The authors have no permission to share the data. The code is available upon reasonable request. Supplementary Materials
The The Supplementary Materials contain a full correlation matrix of all variables studied (see
Semmlinger et al., 2025S).",
1461444820972388.pdf,10.1177/1461444820972388,"Jakob, Julia. ""Supporting digital discourse? The deliberative function of links on Twitter."" New Media & Society 24, no. 5 (2022): 1196-1215. doi:10.1177/1461444820972388",primary,Automated data extraction,Twitter’s front-end,Julia Jakob,not applicable,,Supplemental material for this article is available online.,
1465116520923735.pdf,10.1177/1465116520923735,"Yordanova, Nikoleta, Mariyana Angelova, Roni Lehrer, Moritz Osnabru¨gge, and Sander Renes. ""Swaying citizen support for EU membership: Evidence from a survey experiment of German voters."" European Union Politics 21, no. 3 (2020): 429–450. doi:10.1177/1465116520923735",primary,Experiment,survey experiment,German Internet Panel (GIP),not applicable,,,
14651165211009972.pdf,10.1177/14651165211009972,"Arnemann, Laura, Kai A Konrad, and Niklas Potrafke. ""Collective memories on the 2010 European debt crisis."" European Union Politics 22, no. 4 (2021): 762–784. doi:10.1177/14651165211009972",primary,Self-administered questionnaire,survey,ifo Institute,not applicable,,,
1468-4446.12854.pdf,10.1111/1468-4446.12854,"Dollmann, Jörg. ""Ethnic inequality in choice- and performance-driven education systems: A longitudinal study of educational choices in England, Germany, the Netherlands, and Sweden."" British Journal of Sociology 00 (2021): 1–18. doi:10.1111/1468-4446.12854",secondary,Interview,questionnaire,not applicable,Children of Immigrants Longitudinal Survey in Four European Countries CILS4EU,10.4232/cils4eu.5353.3.3.0,"The data is available at the GESIS data archive for the social sciences, Cologne, Germany. Study number ZA5353 https://doi.org/10.4232/cils4eu.5353.3.3.0.",
1475-6765.12377.pdf,10.1111/1475-6765.12377,"Matthieœ, Theres. ""Retrospective pledge voting: A comparative study of the electoral consequences of government parties’ pledge fulfilment."" European Journal of Political Research 59 (2020): 774–796. doi: 10.1111/1475-6765.12377.",secondary,Content coding,coding procedure,not applicable,Comparative Party Pledges Project – CPPP,,,
1475-679X.12300.pdf,10.1111/1475-679X.12300,"Bischof, Jannis, Holger Daske, and Christoph J. Sextroh. ""Why Do Politicians Intervene in Accounting Regulation? The Role of Ideology and Special Interests."" Journal of Accounting Research 58, no. 3 (June 2020): 589-625, doi: 10.1111/1475-679X.12300.",mixed,Automated data extraction,web-crawling and text-mining techniques,authors,"Charles Stewart III and Jonathan Woon’s Congressional Data Page, Center for Responsive Politics, Vote Smart, Voteview, U.S. Bureau of Labor Statistics, Missouri Census Data Center’s MABLE-Geocorr2k, FASB’s Online Comment Letters, SEC Regulatory Actions",,An online appendix to this paper can be downloaded at http://research.chicagobooth.edu/arc/journal-of-accounting-research/online-supplements.,
148-Article%20Text-834-1-10-20200617.pdf,10.18417/emisa.15.2,"Colin Atkinson and Thomas Kühne. ""A Deep Perspective on the ArchiMate Modeling Language and Standard."" Enterprise Modelling and Information Systems Architectures 15, no. 2 (2020). doi:10.18417/emisa.15.2",no data,not applicable,not applicable,not applicable,not applicable,,,
148-Artikeltext-348-1-10-20201130.pdf,,"Waag, Anne-Sophie. ""Aus dem Leben einer Bildungsforscherin: Wie lernen Spaß machen kann und warum ich so häufig über Evaluation spreche."" Ausgabe 2/2020, November 2020, 65.",primary,Other,"Fragebogen, qualitative Interviews, offene, schriftliche Befragungen",Anne-Sophie Waag,not applicable,,,
14843-51763-1-PB.pdf,1932–8036/20210005,"Wozniak, Antal, Hartmut Wessler, Chung-Hong Chan, and Julia Lück. ""The Event-Centered Nature of Global Public Spheres: The UN Climate Change Conferences, Fridays for Future, and the (Limited) Transnationalization of Media Debates."" International Journal of Communication 15 (2021): 688–714. doi: 1932–8036/20210005.",primary,Automated data extraction,quanteda,article authors,not applicable,,The operationalization yielded an intermittent time series based on 13 events (the list is available in the methodological appendix3 https://osf.io/rtpwa/?view_only=1d21d230132144a99f34bbe85a420113),
1548051820950379.pdf,10.1177/1548051820950379,"Koch-Bayram, Irmela F., and Torsten Biemann. ""Signs of Narcissism? Reconsidering a Widely Used Measure."" Journal of Leadership & Organizational Studies 27, no. 4 (2020): 389-405. doi:10.1177/1548051820950379",primary,Experiment,Amazon Mechanical Turk (MTurk),authors,not applicable,,,
15639-51577-1-PB.pdf,10.3991/ijai.v2i2.15639,"Yau, Jane Yin-Kim, and Dirk Ifenthaler. ""Reflections on Different Learning Analytics Indicators for Supporting Study Success."" iJAI 2, no. 2 (2020): 5-10. doi:10.3991/ijai.v2i2.15639",secondary,Automated data extraction,LMS,not applicable,LMS,,,
16-K007.pdf,10.7763/IJKE.2015.V1.16,"Melo, André, and Johanna Völker. ""Probabilistic Frequent Itemset Mining with Hierarchical Background Knowledge."" International Journal of Knowledge Engineering 1, no. 2 (September 2015): 92-93. doi:10.7763/IJKE.2015.V1.16",mixed,Simulation,synthesized taxonomy,authors,"DBpedia 3.8, Frequent Itemset Mining Dataset Repository",,,
160-258-1-PB.pdf,10.12758/mda.2013.009,"Rammstedt, Beatrice, Christoph J. Kemper, and Jürgen Schupp. ""Standardisierte Kurzskalen zur Erfassung psychologischer Merkmale in Umfragen."" methoden, daten, analysen 7, no. 2 (2013): 145-152. doi:10.12758/mda.2013.009.",no data,not applicable,not applicable,not applicable,not applicable,,,
161-259-1-PB.pdf,10.12758/mda.2013.010,"Schipolowski, Stefan, Oliver Wilhelm, Ulrich Schroeders, Anastassiya Kovaleva, Christoph J. Kemper, and Beatrice Rammstedt. ""A Short Scale for the Measurement of Crystallized Intelligence."" methoden, daten, analysen, no. 7 (2), 2013, pp. 153-181. doi:10.12758/mda.2013.010.",primary,Measurements and tests,BEFKI GC-K,beauftragtes Erhebungsinstitut,not applicable,,,
1616-3443_a000636.pdf,10.1026/1616-3443/a000636,"Alpers, Georg W., and Kristina M. Hengen. ""Interactions with Standardized Patients to Evaluate Students’ Psychotherapy-Competencies: Reliable Assessment and Valid Evaluation."" Zeitschrift für Klinische Psychologie und Psychotherapie 50, no. 3-4 (2021): 133–144. https://doi.org/10.1026/1616-3443/a000636",primary,Recording,German Cognitive Therapy Scale (CTS),authors,not applicable,,,
1618-3169_a000442.pdf,10.1027/1618-3169/a000442,"Arnold, Nina R., Daniel W. Heck, Arndt Bröder, Thorsten Meiser, and C. Dennis Boywitt. ""Testing Hypotheses About Binding in Context Memory With a Hierarchical Multinomial Modeling Approach."" Experimental Psychology 66, no. 3 (2019): 239–251. https://doi.org/10.1027/1618-3169/a000442",primary,Experiment,not applicable,authors,not applicable,,"Open Data
The data and code can be accessed via the Open Science Framework
at https://osf.io/kw3pv/.",https://osf.io/kw3pv/
1618-3169_a000569.pdf,10.1027/1618-3169/a000569,"Quevedo Pütter, J., & Erdfelder, E. (2022). Alcohol-Induced Retrograde Facilitation? Mixed Evidence in a Preregistered Replication and Encoding-Maintenance-Retrieval Analysis. Experimental Psychology, 69(6), 335–350. https://doi.org/10.1027/1618-3169/a000569",primary,Experiment,computer screen,the authors,not applicable,10.17605/OSF.IO/8E9PW,The materials necessary to replicate this study are available on the OSF (https://doi.org/10.17605/OSF.IO/8E9PW).,https://doi.org/10.17605/OSF.IO/8E9PW
16951-Article-140409-1-10-20250221.pdf,10.32872/cpe.16951,"Munsch, Simone, Tina In-Albon, and Nadine Messerli-Bürgy. ""Youth, the New Adolescence: A Challenge and a Window of Opportunity for Early Mental Health Interventions."" Clinical Psychology in Europe 7, no. 1 (2025): e16951. https://doi.org/10.32872/cpe.16951",no data,not applicable,not applicable,not applicable,not applicable,,,
17470218221096148.pdf,10.1177/17470218221096148,"Schreiner, Marcel R., Thorsten Meiser, and Arndt Bröder. ""The binding structure of event elements in episodic memory and the role of animacy."" Quarterly Journal of Experimental Psychology 76, no. 4 (2023): 705-730. doi:10.1177/17470218221096148",primary,Experiment,lab.js,the authors,not applicable,,"Data, materials, and analysis scripts for the experiment are provided via the Open Science Framework (OSF; https://osf.io/dt35k/).",https://osf.io/dt35k/
1758-5899.12942.pdf,10.1111/1758-5899.12942,"Helbling, Marc and Giacomo Solano. ""Assembling – Not Reinventing – the Wheel. New Developments in the Field of Migration Policy Indices."" Global Policy 12, no. 3 (2021): 325-326. doi:10.1111/1758-5899.12942",no data,not applicable,not applicable,not applicable,not applicable,,,
18-1-SCHUHMAIER-Subject-Formation-in-the-Early-Black-Atlantic-FINAL.pdf,,"Sina Schuhmaier. ""Subject Formation in the Early Black Atlantic: Disease Narratives of the Middle Passage."" Journal of Literature and Science 18, no. 1 (2025): 1-10.",secondary,Compilation/Synthesis,not applicable,not applicable,"An Account of the Slave Trade on the Coast of Africa (1788) and The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African (1789)",,,
183924.pdf,10.1155/2014/183924,"Berdica, Elisa, Antje B. M. Gerdes, Andre Pittig, and Georg W. Alpers. ""Inhibition of Return in Fear of Spiders: Discrepant Eye Movement and Reaction Time Data."" Journal of Ophthalmology 2014, no. 183924.",primary,Experiment,SMI RED250 eye-tracking device,article authors,not applicable,,,
1864-1105_a000330.pdf,10.1027/1864-1105/a000330,"Naab, Teresa K. ""The Impact of Giving Feedback in Online Discussions: Effects of Evaluative Reply Comments on the Authors of Evaluated User Comments."" Journal of Media Psychology 34, no. 6 (2022): 334–347. https://doi.org/10.1027/1864-1105/a000330",primary,Experiment,survey,Teresa K. Naab,not applicable,,The electronic supplementary material is available with the online version of the article at https://doi.org/10.1027/1864-1105/a000330,
1864-9335_a000435.pdf,https://doi.org/10.1027/1864-9335/a000435,"Formanowicz, Magdalena, Agnieszka Pietraszkiewicz, Janin Roessel, Caterina Suitner, Marta Witkowska, and Anne Maass. ""“Make it Happen!” Verbs as Markers of Agency Increase Message Effectiveness."" Social Psychology (2021), 52(2), 75–89. https://doi.org/10.1027/1864-9335/a000435",mixed,Experiment,questionnaire,authors,"Warriner et al. (2013), Brysbaert et al. (2014)",,The data used in this research and supporting information are available on our Online Science Framework (OSF) project site at https://osf.io/bgrsy/.,
1866-5888_a000302.pdf,10.1027/1866-5888/a000302,"Hadar Nesher Shoshan, Laura Venz, and Sabine Sonnentag. ""Being Recovered as an Antecedent of Emotional Labor: A Diary Study."" Journal of Personnel Psychology 21, no. 4 (2022): 197–207. https://doi.org/10.1027/1866-5888/a000302",primary,Self-administered questionnaire,survey,students,not applicable,,The syntax is available online (https://osf.io/ezcpy/?view_only=25e668e206c54038b888315bcabe0bff).,https://osf.io/ezcpy/?view_only=25e668e206c54038b888315bcabe0bff
19082_pub.pdf,10.1613/jair.1.19082,"Lea Cohausz, Jakob Kappenberger, and Heiner Stuckenschmidt. 2025. ""Causal Graphs and Fairness in Machine Learning: Addressing Practical Challenges in Causal Fairness Evaluation."" Journal of Artificial Intelligence Research 84, Article 15 (October 2025), 34 pages. doi: 10.1613/jair.1.19082",mixed,Simulation,Python script,"Cohausz, Kappenberger & Stuckenschmidt","alarm, asia, earthquake, insurance, sachs",,"The implementation of the adapted structure learning methods, as well as of the automatic detection of the structures according to Section 3, can be found online: https://github.com/lea-cohausz/causalfair.",https://github.com/lea-cohausz/causalfair
19401612211015077.pdf,10.1177/19401612211015077,"Freudenthaler, Rainer and Hartmut Wessler. ""Mapping Emerging and Legacy Outlets Online by Their Democratic Functions—Agonistic, Deliberative, or Corrosive?"" The International Journal of Press/Politics 0(0): 1–22, 2021. doi: 10.1177/19401612211015077.",primary,Automated data extraction,dictionary-based automated coding,Rainer Freudenthaler and Hartmut Wessler,not applicable,,The data set including tokens of all articles analyzed in this paper and documentation for reproducing the results can be found at https://osf.io/dhzec/?view_only=3c56bf9f93a448ec83b97937b6d1c959.,https://osf.io/dhzec/?view_only=3c56bf9f93a448ec83b97937b6d1c959
19485506211039990.pdf,10.1177/19485506211039990,"Berkessel, Jana B., Tobias Ebert, Jochen E. Gebauer, Thorsteinn Jonsson, and Shigehiro Oishi. ""Pandemics Initially Spread Among People of Higher (Not Lower) Social Status: Evidence From COVID-19 and the Spanish Flu."" Social Psychological and Personality Science 13, no. 3 (2022): 722-733. doi:10.1177/19485506211039990",primary,Automated data extraction,web-harvested,"JBB, TE, and TJ",not applicable,,"All data, code, and materials can be accessed via https://osf.io/c843y/? view_only”009ec29b4f04ae80de671fa1c257",https://osf.io/c843y/? view_only”009ec29b4f04ae80de671fa1c257
19485506221075898.pdf,10.1177/19485506221075898,"Salwender, Mona, Christiane Schoel, Herbert Bless, and Dagmar Stahlberg. ""The Politics Hurdle: Joint Effect of Organizational Culture and Gender on Lack of Fit Experiences."" Social Psychological and Personality Science 14, no. 1 (2023): 84–92. doi:10.1177/19485506221075898",primary,Self-administered questionnaire,www.surveycircle.com,authors,not applicable,,"For all studies reported participant treatment was in accordance with ethical standards from APA and University of Mannheim, participants could sign up for a lottery for Amazon vouchers, and materials, data and code for all studies are available through OSF (https://osf.io/astpf/?view_only=5774fd3a384b426aaff0e2d4c8ba506b).",https://osf.io/astpf/?view_only=5774fd3a384b426aaff0e2d4c8ba506b
201217%20LCXM%20-%20WP.pdf,,"Comello, Stephen, Gunther Glenk, and Stefan Reichelstein. 2021. ""Transitioning to Clean Energy Transportation Services: Life-Cycle Cost Analysis for Vehicle Fleets."" Preprint submitted to Elsevier.",secondary,Automated data extraction,information systems at Stanford University related to energy- and fleet management,not applicable,Stanford University,,The data used in this study are referenced in the main body of the paper and the Appendix. Additional data and information is available from the corresponding author upon reasonable request.,
2014-06-fachbeitrag-balz.pdf,,"Nina Balz, Michael Eberl, Irene Schumm, Bernhard Tempel, and Philipp Zumstein. ""Literaturauswahl und -bestellung leichter gemacht!"" b.i.t.online 17, no. 6 (2014): 519-520.",no data,not applicable,not applicable,not applicable,not applicable,,Die vorgestellten Softwarewerkzeuge sind Eigenentwicklungen aus drei Bibliotheken und können durch andere Bibliotheken angepasst sowie nachgenutzt werden.,"http://www.tempelb.de/autolink-tibub/, http://www.github.com/UB-Mannheim/malibu"
2016-926.pdf,,"Hamann, Matthias, Matthias Krause, and Willi Meier. ""LIZARD – A Lightweight Stream Cipher for Power-constrained Devices."" (n.d.).",primary,Simulation,standard CMOS libraries,article authors,not applicable,,,
2016_Customer%20response%20to%20interactional%20service%20experience.pdf,10.1108/JOSM-07-2015-0215,"Albrecht, Carmen-Maria, Stefan Hattula, Torsten Bornemann, and Wayne D. Hoyer. ""Customer response to interactional service experience: The role of interaction environment."" Journal of Service Management 27, no. 5 (2016): 704-729. doi:10.1108/JOSM-07-2015-0215",primary,Experiment,videotaped scenarios,authors,not applicable,,,
20171207105138_5a290f2a6735d.pdf,10.1080/08870446.2017.1327586,"Gloster, A. T., Meyer, A. H., Witthauer, C., Lieb, R., & Mata, J. (2017). “I feel better when‗‘: An analysis of the memory-experience gap for peoples‘ estimates of the relationship between health behaviours and experiences. Psychology & Health, 32(9), 1152–1166. https://doi.org/10.1080/08870446.2017.1327586",primary,Self-administered questionnaire,"online entry questionnaire, online-assessments, pleasantness scale, Godin Leisure Time Questionnaire",the research team,not applicable,,,
2017_The%20relationship%20between%20consumer%20shopping%20stress%20and%20purchase%20abandonment%20in%20task-oriented%20and%20recreation-oriented%20consumers.pdf,10.1007/s11747-016-0514-5,"Albrecht, Carmen-Maria, Stefan Hattula, and Donald R. Lehmann. ""The relationship between consumer shopping stress and purchase abandonment in task-oriented and recreation-oriented consumers."" Journal of the Academy of Marketing Science 2017. doi:10.1007/s11747-016-0514-5.",primary,Experiment,questionnaire,authors,not applicable,,,
2018_DKE_AProbabilisticEvaluationProcedure.pdf,,"Kuss, Elena, Henrik Leopold, Han van der Aa, Heiner Stuckenschmidt, and Hajo A. Reijers. ""A Probabilistic Evaluation Procedure for Process Model Matching Techniques."" Data and Knowledge Engineering, 2018.",mixed,Other,templates,authors,University Admission dataset of the PMMC 2015,,,
2019_BTR_Issue_2_Casi%20Nenadic%20Orlic%20Spengel.pdf,,"Casi, Elisa, Sara Nenadic, Mark Dinko Orlic, and Christoph Spengel. ""A Call to Action: From Evolution to Revolution on the Common Reporting Standard."" British Tax Review 2 (2019): 166-204.",secondary,Compilation/Synthesis,not applicable,not applicable,national legislation of nine countries in the selected sample,,,
2022%20-%20Janke%20-%20Motivational%20development.pdf,10.1111/bjep.12522,"Janke, Stefan, Laura A. S. Messerer, and Martin Daumiller. ""Motivational development in times of campus closure: Longitudinal trends in undergraduate students' need satisfaction and intrinsic learning motivation."" British Journal of Educational Psychology 92 (2022): 1582–1596. doi: 10.1111/bjep.12522.",primary,Self-administered questionnaire,Likert scale,authors,not applicable,,The data that supports the findings of this study is openly available via the Open Science Framework [Link: https://osf.io/wc4v7].,https://osf.io/wc4v7
2022%20-%20Mohr%20-%20A%20dynamic%20view%20on%20work%E2%80%90related%20perfectionism.pdf,10.1111/joop.12403,"Mohr, Monique, Laura Venz, and Sabine Sonnentag. ""A dynamic view on work-related perfectionism: Antecedents at work and implications for employee well-being."" Journal of Occupational and Organizational Psychology 95 (2022): 846-866. doi:10.1111/joop.12403",primary,Self-administered questionnaire,survey,the authors,not applicable,,Study participants did not provide consent that their data will be available publicly. Data are available for interested researchers upon request from the corresponding author.,
