filename,url,madoc_identifier,title,creators,year,citation
00220027221109797.pdf,https://madoc.bib.uni-mannheim.de/62511/1/00220027221109797.pdf,https://madoc.bib.uni-mannheim.de/62511/,The impact of domestic surveillance on political imprisonment: Evidence from the German Democratic Republic,"Steinert, Christoph Valentin",2023,"Steinert, Christoph Valentin (2023) “The impact of domestic surveillance on political imprisonment: Evidence from the German Democratic Republic.” https://madoc.bib.uni-mannheim.de/62511/"
0022242920916733.pdf,https://madoc.bib.uni-mannheim.de/56654/1/0022242920916733.pdf,https://madoc.bib.uni-mannheim.de/56654/,Tolerating and managing failure: An organizational perspective on customer reacquisition management,"Vomberg, Arnd; Homburg, Christian; Gwinner, Olivia",2020,"Vomberg, Arnd; Homburg, Christian; Gwinner, Olivia (2020) “Tolerating and managing failure: An organizational perspective on customer reacquisition management.” https://madoc.bib.uni-mannheim.de/56654/"
00222429211014902.pdf,https://madoc.bib.uni-mannheim.de/61381/1/00222429211014902.pdf,https://madoc.bib.uni-mannheim.de/61381/,Virtual reality in new product development: Insights from prelaunch sales forecasting for durables,"Harz, Nathalie; Hohenberg, Sebastian; Homburg, Christian",2022,"Harz, Nathalie; Hohenberg, Sebastian; Homburg, Christian (2022) “Virtual reality in new product development: Insights from prelaunch sales forecasting for durables.” https://madoc.bib.uni-mannheim.de/61381/"
00222429211026655.pdf,https://madoc.bib.uni-mannheim.de/61379/1/00222429211026655.pdf,https://madoc.bib.uni-mannheim.de/61379/,Wage inequality: Its impact on customer satisfaction and firm performance,"Bamberger, Boas; Homburg, Christian; Wielgos, Dominik",2021,"Bamberger, Boas; Homburg, Christian; Wielgos, Dominik (2021) “Wage inequality: Its impact on customer satisfaction and firm performance.” https://madoc.bib.uni-mannheim.de/61379/"
0022243720929676.pdf,https://madoc.bib.uni-mannheim.de/56651/1/0022243720929676.pdf,https://madoc.bib.uni-mannheim.de/56651/,Design and governance of multichannel sales systems: Financial performance consequences in business-to-business markets,"Homburg, Christian; Vomberg, Arnd; Mühlhäuser, Stephan",2020,"Homburg, Christian; Vomberg, Arnd; Mühlhäuser, Stephan (2020) “Design and governance of multichannel sales systems: Financial performance consequences in business-to-business markets.” https://madoc.bib.uni-mannheim.de/56651/"
0022343318800524.pdf,https://madoc.bib.uni-mannheim.de/52002/1/0022343318800524.pdf,https://madoc.bib.uni-mannheim.de/52002/,Spoilers of peace: Pro-government militias as risk factors for conflict recurrence,"Steinert, Christoph Valentin; Steinert, Janina I.; Carey, Sabine C.",2019,"Steinert, Christoph Valentin; Steinert, Janina I.; Carey, Sabine C. (2019) “Spoilers of peace: Pro-government militias as risk factors for conflict recurrence.” https://madoc.bib.uni-mannheim.de/52002/"
0022343319897105.pdf,https://madoc.bib.uni-mannheim.de/57412/1/0022343319897105.pdf,https://madoc.bib.uni-mannheim.de/57412/,Transnational terrorism and restrictive immigration policies,"Helbling, Marc; Meierrieks, Daniel",2020,"Helbling, Marc; Meierrieks, Daniel (2020) “Transnational terrorism and restrictive immigration policies.” https://madoc.bib.uni-mannheim.de/57412/"
0038-6073-2020-1-2-3.pdf,https://madoc.bib.uni-mannheim.de/55913/1/0038-6073-2020-1-2-3.pdf,https://madoc.bib.uni-mannheim.de/55913/,An empirical-analytical approach to the study of recent refugee migrants in Germany,"Kogan, Irena; Kalter, Frank",2020,"Kogan, Irena; Kalter, Frank (2020) “An empirical-analytical approach to the study of recent refugee migrants in Germany.” https://madoc.bib.uni-mannheim.de/55913/"
0038-6073-2021-4-415.pdf,https://madoc.bib.uni-mannheim.de/66069/1/0038-6073-2021-4-415.pdf,https://madoc.bib.uni-mannheim.de/66069/,Grasping digitalization in the working world : An example from the German National Educational Panel Study,"Friedrich, Teresa Sophie; Laible, Marie-Christine; Pollak, Reinhard; Schongen, Sebastian; Schulz, Benjamin; Vicari, Basha",2021,"Friedrich, Teresa Sophie; Laible, Marie-Christine; Pollak, Reinhard; Schongen, Sebastian; Schulz, Benjamin; Vicari, Basha (2021) “Grasping digitalization in the working world : An example from the German National Educational Panel Study.” https://madoc.bib.uni-mannheim.de/66069/"
0038-6073-2025-1-2-105.pdf,https://madoc.bib.uni-mannheim.de/71123/1/0038-6073-2025-1-2-105.pdf,https://madoc.bib.uni-mannheim.de/71123/,Cultural distance through the lens of social closeness and individual experiences with diversity : Unveiling attitudes toward recent immigrants in Germany using a factorial survey experiment,"Heyne, Stefanie; Kuhlemann, Jana; Kogan, Irena",2025,"Heyne, Stefanie; Kuhlemann, Jana; Kogan, Irena (2025) “Cultural distance through the lens of social closeness and individual experiences with diversity : Unveiling attitudes toward recent immigrants in Germany using a factorial survey experiment.” https://madoc.bib.uni-mannheim.de/71123/"
0042098019897890.pdf,https://madoc.bib.uni-mannheim.de/53885/1/0042098019897890.pdf,https://madoc.bib.uni-mannheim.de/53885/,Neighbourhood effects on acculturation attitudes among minority and majority adolescents in Germany,"Kretschmer, David; Kruse, Hanno",2020,"Kretschmer, David; Kruse, Hanno (2020) “Neighbourhood effects on acculturation attitudes among minority and majority adolescents in Germany.” https://madoc.bib.uni-mannheim.de/53885/"
0049-8637_a000221.pdf,https://madoc.bib.uni-mannheim.de/61370/1/0049-8637_a000221.pdf,https://madoc.bib.uni-mannheim.de/61370/,Belonging as compensator: Social belonging moderates the relation between bullying and well-being worldwide,"Marksteiner, Tamara; Janson, Marc Philipp; Beißert, Hanna",2020,"Marksteiner, Tamara; Janson, Marc Philipp; Beißert, Hanna (2020) “Belonging as compensator: Social belonging moderates the relation between bullying and well-being worldwide.” https://madoc.bib.uni-mannheim.de/61370/"
0049124117747304.pdf,https://madoc.bib.uni-mannheim.de/45879/1/0049124117747304.pdf,https://madoc.bib.uni-mannheim.de/45879/,Generalization of classic question order effects across cultures,"Stark, Tobias H.; Silber, Henning; Krosnick, Jon A.; Blom, Annelies G.; Aoyagi, Midori; Belchior, Ana; Bosnjak, Michael; Clement, Sanne Lund; John, Melvin; Guðbjörg, Andrea Jónsdóttir; Lawson, Karen; Lynn, Peter; Martinsson, Johan; Shamshiri-Petersen, Ditte; Tvinnereim, Endre; Yu, Ruoh-rong",2020,"Stark, Tobias H.; Silber, Henning; Krosnick, Jon A.; Blom, Annelies G.; Aoyagi, Midori; Belchior, Ana; Bosnjak, Michael; Clement, Sanne Lund; John, Melvin; Guðbjörg, Andrea Jónsdóttir; Lawson, Karen; Lynn, Peter; Martinsson, Johan; Shamshiri-Petersen, Ditte; Tvinnereim, Endre; Yu, Ruoh-rong (2020) “Generalization of classic question order effects across cultures.” https://madoc.bib.uni-mannheim.de/45879/"
0049124119882473.pdf,https://madoc.bib.uni-mannheim.de/57525/1/0049124119882473.pdf,https://madoc.bib.uni-mannheim.de/57525/,How to deal with reverse causality using panel data? Recommendations for researchers based on a simulation study,"Leszczensky, Lars; Wolbring, Tobias",2022,"Leszczensky, Lars; Wolbring, Tobias (2022) “How to deal with reverse causality using panel data? Recommendations for researchers based on a simulation study.” https://madoc.bib.uni-mannheim.de/57525/"
0049124119882480.pdf,https://madoc.bib.uni-mannheim.de/53177/1/0049124119882480.pdf,https://madoc.bib.uni-mannheim.de/53177/,Acceptance of the automated online collection of geographical information,"Felderer, Barbara; Blom, Annelies G.",2022,"Felderer, Barbara; Blom, Annelies G. (2022) “Acceptance of the automated online collection of geographical information.” https://madoc.bib.uni-mannheim.de/53177/"
0093650220939778.pdf,https://madoc.bib.uni-mannheim.de/56101/1/0093650220939778.pdf,https://madoc.bib.uni-mannheim.de/56101/,Using media for coping: A scoping review,"Wolfers, Lara N.; Schneider, Frank M.",2021,"Wolfers, Lara N.; Schneider, Frank M. (2021) “Using media for coping: A scoping review.” https://madoc.bib.uni-mannheim.de/56101/"
0093650220944790.pdf,https://madoc.bib.uni-mannheim.de/60835/1/0093650220944790.pdf,https://madoc.bib.uni-mannheim.de/60835/,"The highs in communication research: research topics with high supply, high popularity, and high prestige in high-impact journals","Chan, Chung-hong; Grill, Christiane",2022,"Chan, Chung-hong; Grill, Christiane (2022) “The highs in communication research: research topics with high supply, high popularity, and high prestige in high-impact journals.” https://madoc.bib.uni-mannheim.de/60835/"
01425692.2020.pdf,https://madoc.bib.uni-mannheim.de/58699/1/01425692.2020.pdf,https://madoc.bib.uni-mannheim.de/58699/,Classroom composition and language skills: the role of school class and friend characteristics,"Dollmann, Jörg; Rudolphi, Frida",2020,"Dollmann, Jörg; Rudolphi, Frida (2020) “Classroom composition and language skills: the role of school class and friend characteristics.” https://madoc.bib.uni-mannheim.de/58699/"
0143831x20944211.pdf,https://madoc.bib.uni-mannheim.de/56711/1/0143831x20944211.pdf,https://madoc.bib.uni-mannheim.de/56711/,Learning to keep the faith? Further education and perceived employability among young unemployed,"Mühlböck, Monika; Steiber, Nadia; Kittel, Bernhard",2022,"Mühlböck, Monika; Steiber, Nadia; Kittel, Bernhard (2022) “Learning to keep the faith? Further education and perceived employability among young unemployed.” https://madoc.bib.uni-mannheim.de/56711/"
0146167218820921.pdf,https://madoc.bib.uni-mannheim.de/50233/1/0146167218820921.pdf,https://madoc.bib.uni-mannheim.de/50233/,Autonomous goal striving promotes a nonlimited theory about willpower,"Sieber, Vanda; Flückiger, Lavinia; Mata, Jutta; Bernecker, Katharina; Job, Veronika",2019,"Sieber, Vanda; Flückiger, Lavinia; Mata, Jutta; Bernecker, Katharina; Job, Veronika (2019) “Autonomous goal striving promotes a nonlimited theory about willpower.” https://madoc.bib.uni-mannheim.de/50233/"
01461672211031080_.pdf,https://madoc.bib.uni-mannheim.de/61377/1/01461672211031080_.pdf,https://madoc.bib.uni-mannheim.de/61377/,You and I both: Self-compassion reduces self-other differences in evaluation of showing vulnerability,"Bruk, Anna; Scholl, Sabine G.; Bless, Herbert",2022,"Bruk, Anna; Scholl, Sabine G.; Bless, Herbert (2022) “You and I both: Self-compassion reduces self-other differences in evaluation of showing vulnerability.” https://madoc.bib.uni-mannheim.de/61377/"
0190272520936633.pdf,https://madoc.bib.uni-mannheim.de/56861/1/0190272520936633.pdf,https://madoc.bib.uni-mannheim.de/56861/,Are birds of a feather praying together? Assessing friends’ influence on Muslim youths’ religiosity in Germany,"Leszczensky, Lars; Pink, Sebastian",2020,"Leszczensky, Lars; Pink, Sebastian (2020) “Are birds of a feather praying together? Assessing friends’ influence on Muslim youths’ religiosity in Germany.” https://madoc.bib.uni-mannheim.de/56861/"
0192513x19880934.pdf,https://madoc.bib.uni-mannheim.de/52622/1/0192513x19880934.pdf,https://madoc.bib.uni-mannheim.de/52622/,What comes after caring? The impact of family care on women's employment,"Ehrlich, Ulrike; Möhring, Katja; Drobnič, Sonja",2020,"Ehrlich, Ulrike; Möhring, Katja; Drobnič, Sonja (2020) “What comes after caring? The impact of family care on women's employment.” https://madoc.bib.uni-mannheim.de/52622/"
0197918320988835.pdf,https://madoc.bib.uni-mannheim.de/60355/1/0197918320988835.pdf,https://madoc.bib.uni-mannheim.de/60355/,In the ear of the listener: The role of foreign accent in interethnic friendships and partnerships,"Kogan, Irena; Dollmann, Jörg; Weißmann, Markus",2021,"Kogan, Irena; Dollmann, Jörg; Weißmann, Markus (2021) “In the ear of the listener: The role of foreign accent in interethnic friendships and partnerships.” https://madoc.bib.uni-mannheim.de/60355/"
01_CCR2021.1_CHAN.pdf,https://madoc.bib.uni-mannheim.de/65017/1/01_CCR2021.1_CHAN.pdf,https://madoc.bib.uni-mannheim.de/65017/,Four best practices for measuring news sentiment using ‘off-the-shelf’ dictionaries: a large-scale p-hacking experiment,"Chan, Chung-hong; Bajjalieh, Joseph W.; Auvil, Loretta; Wessler, Hartmut; Althaus, Scott; Welbers, Kasper; Atteveldt, Wouter van; Jungblut, Marc",2021,"Chan, Chung-hong; Bajjalieh, Joseph W.; Auvil, Loretta; Wessler, Hartmut; Althaus, Scott; Welbers, Kasper; Atteveldt, Wouter van; Jungblut, Marc (2021) “Four best practices for measuring news sentiment using ‘off-the-shelf’ dictionaries: a large-scale p-hacking experiment.” https://madoc.bib.uni-mannheim.de/65017/"
02.pdf,https://madoc.bib.uni-mannheim.de/40203/1/02.pdf,https://madoc.bib.uni-mannheim.de/40203/,How to account for the expressive nature of phrasal compounds in a conceptual-semantic framework,"Trips, Carola",2014,"Trips, Carola (2014) “How to account for the expressive nature of phrasal compounds in a conceptual-semantic framework.” https://madoc.bib.uni-mannheim.de/40203/"
0263395720975970.pdf,https://madoc.bib.uni-mannheim.de/60590/1/0263395720975970.pdf,https://madoc.bib.uni-mannheim.de/60590/,Illiberal democratic attitudes and support for the EU,"Brug, Wouter van der; Popa, Sebastian Adrian; Hobolt, Sara B.; Schmitt, Hermann",2021,"Brug, Wouter van der; Popa, Sebastian Adrian; Hobolt, Sara B.; Schmitt, Hermann (2021) “Illiberal democratic attitudes and support for the EU.” https://madoc.bib.uni-mannheim.de/60590/"
02_Maja%2BLinthe_Tandemseminar_final.pdf,https://madoc.bib.uni-mannheim.de/64485/1/02_Maja%2BLinthe_Tandemseminar_final.pdf,https://madoc.bib.uni-mannheim.de/64485/,Das Tandemseminar „Der Widerstand gegen den Nationalsozialismus in der deutschen Wikipedia“: ein Lehrexperiment mit forschendem Lernen im Open-Science-Format,"Linthe, Maja",2023,"Linthe, Maja (2023) “Das Tandemseminar „Der Widerstand gegen den Nationalsozialismus in der deutschen Wikipedia“: ein Lehrexperiment mit forschendem Lernen im Open-Science-Format.” https://madoc.bib.uni-mannheim.de/64485/"
03057356211013396.pdf,https://madoc.bib.uni-mannheim.de/61039/1/03057356211013396.pdf,https://madoc.bib.uni-mannheim.de/61039/,Chunking in tonal contexts: Information compression during serial recall of visually presented musical notes,"Lörch, Lucas",2022,"Lörch, Lucas (2022) “Chunking in tonal contexts: Information compression during serial recall of visually presented musical notes.” https://madoc.bib.uni-mannheim.de/61039/"
03080226221113505.pdf,https://madoc.bib.uni-mannheim.de/62361/1/03080226221113505.pdf,https://madoc.bib.uni-mannheim.de/62361/,How are you getting by? Coping in developmental coordination disorder versus attention-deficit/hyperactivity disorder,"Meachon, Emily; Alpers, Georg W.",2023,"Meachon, Emily; Alpers, Georg W. (2023) “How are you getting by? Coping in developmental coordination disorder versus attention-deficit/hyperactivity disorder.” https://madoc.bib.uni-mannheim.de/62361/"
0340-1650-2022-11-1.pdf,https://madoc.bib.uni-mannheim.de/65640/1/0340-1650-2022-11-1.pdf,https://madoc.bib.uni-mannheim.de/65640/,Klimaschutz lohnt sich,"Wambach, Achim",2022,"Wambach, Achim (2022) “Klimaschutz lohnt sich.” https://madoc.bib.uni-mannheim.de/65640/"
07.11.20.pr0.109.5.380-388.pdf,https://madoc.bib.uni-mannheim.de/30224/1/07.11.20.pr0.109.5.380-388.pdf,https://madoc.bib.uni-mannheim.de/30224/,How task experience influences students' performance expectancies : The role of certainty,"Dickhäuser, Oliver; Reinhard, Marc-André; Englert, Chris",2011,"Dickhäuser, Oliver; Reinhard, Marc-André; Englert, Chris (2011) “How task experience influences students' performance expectancies : The role of certainty.” https://madoc.bib.uni-mannheim.de/30224/"
0734371x20932997.pdf,https://madoc.bib.uni-mannheim.de/55688/1/0734371x20932997.pdf,https://madoc.bib.uni-mannheim.de/55688/,Formalization and administrative burden as obstacles to employee recruitment: Consequences for the public sector,"Sievert, Martin; Vogel, Dominik; Feeney, Mary K.",2022,"Sievert, Martin; Vogel, Dominik; Feeney, Mary K. (2022) “Formalization and administrative burden as obstacles to employee recruitment: Consequences for the public sector.” https://madoc.bib.uni-mannheim.de/55688/"
0738894219899006.pdf,https://madoc.bib.uni-mannheim.de/53692/1/0738894219899006.pdf,https://madoc.bib.uni-mannheim.de/53692/,The legacy of war: The effect of militias on postwar repression,"Carey, Sabine C.; González, Belén",2021,"Carey, Sabine C.; González, Belén (2021) “The legacy of war: The effect of militias on postwar repression.” https://madoc.bib.uni-mannheim.de/53692/"
0890207020962304.pdf,https://madoc.bib.uni-mannheim.de/55192/1/0890207020962304.pdf,https://madoc.bib.uni-mannheim.de/55192/,"Morning resolutions, evening disillusions: Theories of willpower affect how health behaviours change across the day","Francis, Zoë; Mata, Jutta; Flückiger, Lavinia; Job, Veronika",2020,"Francis, Zoë; Mata, Jutta; Flückiger, Lavinia; Job, Veronika (2020) “Morning resolutions, evening disillusions: Theories of willpower affect how health behaviours change across the day.” https://madoc.bib.uni-mannheim.de/55192/"
0894439318816389.pdf,https://madoc.bib.uni-mannheim.de/50461/1/0894439318816389.pdf,https://madoc.bib.uni-mannheim.de/50461/,Collecting survey and smartphone sensor data with an App: Opportunities and challenges around privacy and informed consent,"Kreuter, Frauke; Haas, Georg-Christoph; Keusch, Florian; Bähr, Sebastian; Trappmann, Mark",2019,"Kreuter, Frauke; Haas, Georg-Christoph; Keusch, Florian; Bähr, Sebastian; Trappmann, Mark (2019) “Collecting survey and smartphone sensor data with an App: Opportunities and challenges around privacy and informed consent.” https://madoc.bib.uni-mannheim.de/50461/"
0894439320902461.pdf,https://madoc.bib.uni-mannheim.de/55118/1/0894439320902461.pdf,https://madoc.bib.uni-mannheim.de/55118/,Measuring income (in)equality: Comparing survey questions with unipolar and bipolar scales in a probability-based online panel,"Höhne, Jan Karem; Krebs, Dagmar; Kühnel, Steffen M.",2022,"Höhne, Jan Karem; Krebs, Dagmar; Kühnel, Steffen M. (2022) “Measuring income (in)equality: Comparing survey questions with unipolar and bipolar scales in a probability-based online panel.” https://madoc.bib.uni-mannheim.de/55118/"
0894439320914261.pdf,https://madoc.bib.uni-mannheim.de/57855/1/0894439320914261.pdf,https://madoc.bib.uni-mannheim.de/57855/,The effects of personalized feedback on participation and reporting in mobile app data collection,"Wenz, Alexander; Jäckle, Annette; Burton, Jonathan; Couper, Mick P.",2022,"Wenz, Alexander; Jäckle, Annette; Burton, Jonathan; Couper, Mick P. (2022) “The effects of personalized feedback on participation and reporting in mobile app data collection.” https://madoc.bib.uni-mannheim.de/57855/"
0894439320918318.pdf,https://madoc.bib.uni-mannheim.de/60830/1/0894439320918318.pdf,https://madoc.bib.uni-mannheim.de/60830/,What’s the benefit of a video? The effect of nonmaterial incentives on response rate and bias in web surveys,"Kalleitner, Fabian; Mühlböck, Monika; Kittel, Bernhard",2022,"Kalleitner, Fabian; Mühlböck, Monika; Kittel, Bernhard (2022) “What’s the benefit of a video? The effect of nonmaterial incentives on response rate and bias in web surveys.” https://madoc.bib.uni-mannheim.de/60830/"
0894439320944118.pdf,https://madoc.bib.uni-mannheim.de/55915/1/0894439320944118.pdf,https://madoc.bib.uni-mannheim.de/55915/,Missing data and other measurement quality issues in mobile geolocation sensor data,"Bähr, Sebastian; Haas, Georg-Christoph; Keusch, Florian; Kreuter, Frauke; Trappmann, Mark",2022,"Bähr, Sebastian; Haas, Georg-Christoph; Keusch, Florian; Kreuter, Frauke; Trappmann, Mark (2022) “Missing data and other measurement quality issues in mobile geolocation sensor data.” https://madoc.bib.uni-mannheim.de/55915/"
0894439320971233.pdf,https://madoc.bib.uni-mannheim.de/57236/1/0894439320971233.pdf,https://madoc.bib.uni-mannheim.de/57236/,Completion conditions and response behavior in smartphone surveys: A prediction approach using acceleration data,"Kern, Christoph; Höhne, Jan Karem; Schlosser, Stephan; Revilla, Melanie",2021,"Kern, Christoph; Höhne, Jan Karem; Schlosser, Stephan; Revilla, Melanie (2021) “Completion conditions and response behavior in smartphone surveys: A prediction approach using acceleration data.” https://madoc.bib.uni-mannheim.de/57236/"
0894439320979951.pdf,https://madoc.bib.uni-mannheim.de/58045/1/0894439320979951.pdf,https://madoc.bib.uni-mannheim.de/58045/,Augmenting surveys with data from sensors and apps: Opportunities and challenges,"Struminskaya, Bella; Lugtig, Peter; Keusch, Florian; Höhne, Jan Karem",2020,"Struminskaya, Bella; Lugtig, Peter; Keusch, Florian; Höhne, Jan Karem (2020) “Augmenting surveys with data from sensors and apps: Opportunities and challenges.” https://madoc.bib.uni-mannheim.de/58045/"
0894439320984131.pdf,https://madoc.bib.uni-mannheim.de/58010/1/0894439320984131.pdf,https://madoc.bib.uni-mannheim.de/58010/,The long-term impact of different offline population inclusion strategies in probability-based online panels: Evidence from the German Internet Panel and the GESIS Pane,"Cornesse, Carina; Schaurer, Ines",2021,"Cornesse, Carina; Schaurer, Ines (2021) “The long-term impact of different offline population inclusion strategies in probability-based online panels: Evidence from the German Internet Panel and the GESIS Pane.” https://madoc.bib.uni-mannheim.de/58010/"
08944393211006059_.pdf,https://madoc.bib.uni-mannheim.de/59265/1/08944393211006059_.pdf,https://madoc.bib.uni-mannheim.de/59265/,Recruiting a probability-based online panel via postal mail: Experimental evidence,"Cornesse, Carina; Felderer, Barbara; Fikel, Marina; Krieger, Ulrich; Blom, Annelies G.",2022,"Cornesse, Carina; Felderer, Barbara; Fikel, Marina; Krieger, Ulrich; Blom, Annelies G. (2022) “Recruiting a probability-based online panel via postal mail: Experimental evidence.” https://madoc.bib.uni-mannheim.de/59265/"
