filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
00222429211014902.pdf,{'value': '10.1177/00222429211014902'},"{'value': 'Harz, Nathalie, Sebastian Hohenberg, and Christian Homburg. ""Virtual Reality in New Product Development: Insights from Prelaunch Sales Forecasting for Durables."" Journal of Marketing 86, no. 3 (2022): 157-179. doi:10.1177/00222429211014902'}",{'value': 'primary'},{'value': 'Simulation'},{'value': 'virtual reality'},{'value': 'GfK'},{'value': 'not applicable'},{'value': ''},{'value': 'Online supplement: https://doi.org/10.1177/00222429211014902'},{'value': ''}
00222429211026655.pdf,{'value': '10.1177/00222429211026655'},"{'value': 'Bamberger, Boas, Christian Homburg, and Dominik M. Wielgos. ""Wage Inequality: Its Impact on Customer Satisfaction and Firm Performance."" Journal of Marketing 85, no. 6 (2021): 24–43. doi:10.1177/00222429211026655'}",{'value': 'mixed'},{'value': 'Self-administered questionnaire'},{'value': 'online survey'},{'value': 'authors'},"{'value': 'ACSI, Compustat Fundamentals Annual database, and Execucomp database'}",{'value': ''},{'value': ''},{'value': ''}
0022243720929676.pdf,{'value': '10.1177/0022243720929676'},"{'value': 'Homburg, Christian, Arnd Vomberg, and Stephan Muehlhaeuser. ""Design and Governance of Multichannel Sales Systems: Financial Performance Consequences in Business-to-Business Markets."" Journal of Marketing Research 2020, 1-22. doi: 10.1177/0022243720929676.'}",{'value': 'mixed'},{'value': 'Self-administered questionnaire'},{'value': 'mail questionnaire and online questionnaire'},{'value': 'article authors'},{'value': 'AMADEUS database'},{'value': ''},{'value': 'Online supplement: https://doi.org/10.1177/0022243720929676'},{'value': ''}
0022343318800524.pdf,{'value': '10.1177/0022343318800524'},"{'value': 'Steinert, Christoph V, Janina I Steinert, and Sabine C Carey. ""Spoilers of peace: Pro-government militias as risk factors for conflict recurrence."" Journal of Peace Research 56, no. 2 (2019): 249–263. doi:10.1177/0022343318800524'}",{'value': 'mixed'},{'value': 'Content coding'},{'value': 'coding procedure proposed by Kalyvas & Balcells (2010)'},{'value': 'authors'},"{'value': 'UCDP Armed Conflict Dataset, Pro-Government Militia Database'}",{'value': ''},"{'value': 'The dataset and do-files for the empirical analysis in this article, along with the Online appendix, can be found at http://www.prio.org/jpr/datasets.'}",{'value': 'http://www.prio.org/jpr/datasets'}
0022343319897105.pdf,{'value': '10.1177/0022343319897105'},"{'value': 'Helbling, Marc and Daniel Meierrieks. ""Transnational terrorism and restrictive immigration policies."" Journal of Peace Research 57, no. 4 (2020): 564–580. doi:10.1177/0022343319897105'}",{'value': 'secondary'},{'value': 'Aggregation'},{'value': 'not applicable'},{'value': 'not applicable'},"{'value': 'Immigration Policies in Comparison (IMPIC) dataset, V-DEM Dataset, PWT, International Terrorism: Attributes of Terrorist Events (ITERATE) dataset, Global Terrorism Database (GTD), DPI'}",{'value': ''},"{'value': 'The dataset and do-file for the empirical analysis in this article, as well as the Online appendix, can be found at http://www.prio.org/jpr/datasets.'}",{'value': 'http://www.prio.org/jpr/datasets'}
0038-6073-2020-1-2-3.pdf,{'value': '10.5771/0038-6073-2020-1-2-3'},"{'value': 'Kogan, Irena, and Frank Kalter. 2020. ""An empirical–analytical approach to the study of recent refugee migrants in Germany."" SozW, 71 (1-2): 3–23. doi: 10.5771/0038-6073-2020-1-2-3.'}",{'value': 'secondary'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': 'IAB-BAMF-SOEP Refugee Survey and ReGES'},{'value': ''},{'value': ''},{'value': ''}
0038-6073-2021-4-415.pdf,{'value': '10.5771/0038-6073-2021-4-415'},"{'value': 'Friedrich, Teresa Sophie, Marie-Christine Laible, Reinhard Pollak, Sebastian Schongen, Benjamin Schulz, and Basha Vicari. ""Grasping Digitalization in the Working World: An Example From the German National Educational Panel Study"". SozW, 72, no. 4 (2021): 415-452. doi:10.5771/0038-6073-2021-4-415.'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'survey module'},{'value': 'not applicable'},{'value': 'German National Educational Panel Study (NEPS)'},{'value': '10.7802/2362'},{'value': 'The codes used in the present study are available for replications (https://doi.org/10.7802/2362).'},{'value': 'https://doi.org/10.7802/2362'}
0038-6073-2025-1-2-105.pdf,{'value': '10.5771/0038-6073-2025-1-2-105'},"{'value': 'Heyne, Stefanie, Jana Kuhlemann, and Irena Kogan. ""Cultural distance through the lens of social closeness and individual experiences with diversity: Unveiling attitudes toward recent immigrants in Germany using a factorial survey experiment."" SozW, 76 (1-2) (2025): 105-131. doi: 10.5771/0038-6073-2025-1-2-105.'}",{'value': 'secondary'},{'value': 'Experiment'},{'value': 'factorial survey experiment'},{'value': 'not applicable'},{'value': 'German Internet Panel (GIP)'},{'value': '10.4232/1.14367'},{'value': 'This paper uses data from the wave 63 of the German Internet Panel GIP (https://doi.org/10.4232/1.14367); The data are available via the GESIS Data Archive. The code used in the present study is available for replication: https://osf.io/z84d5/.'},{'value': 'https://osf.io/z84d5/'}
0042098019897890.pdf,{'value': '10.1177/0042098019897890'},"{'value': 'Kretschmer, David and Hanno Kruse. ""Neighbourhood effects on acculturation attitudes among minority and majority adolescents in Germany."" Urban Studies, 2020, pp. 1-18. doi: 10.1177/0042098019897890'}",{'value': 'secondary'},{'value': 'Interview'},{'value': 'questionnaire'},{'value': 'not applicable'},{'value': 'CILS4EU'},{'value': ''},{'value': ''},{'value': ''}
0049-8637_a000221.pdf,{'value': '10.1026/0049-8637/a000221'},"{'value': 'Marksteiner, Tamara, Marc Philipp Janson, and Hanna Beißert. ""Belonging as Compensator: Social Belonging Moderates the Relation Between Bullying and Well-Being Worldwide."" Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie 52, no. 3-4 (2020): 116–126. https://doi.org/10.1026/0049-8637/a000221'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'PISA 2015 dataset'},{'value': 'not applicable'},{'value': 'PISA 2015 dataset'},{'value': ''},{'value': ''},{'value': ''}
0049124117747304.pdf,{'value': '10.1177/0049124117747304'},"{'value': 'Stark, Tobias H., Henning Silber, Jon A. Krosnick, Annelies G. Blom, Midori Aoyagi, Ana Belchior, Michael Bosnjak, Sanne Lund Clement, Melvin John, Guðbjörg Andrea Jónsdóttir, Karen Lawson, Peter Lynn, Johan Martinsson, Ditte Shamshiri-Petersen, Endre Tvinnereim, and Ruoh-rong Yu. ""Generalization of Classic Question Order Effects Across Cultures."" Sociological Methods & Research 49, no. 3 (2020): 567-602. doi:10.1177/0049124117747304'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'questionnaire'},"{'value': 'Gallup, TESS, GESIS Panel, German Internet Panel, NatCen Social Research, Kantar Public, Laboratory of Opinion Research at the University of Gothenburg, Uni Research, Academia Sinica'}",{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
0049124119882473.pdf,{'value': '10.1177/0049124119882473'},"{'value': 'Leszczensky, Lars and Tobias Wolbring. 2022. ""How to Deal With Reverse Causality Using Panel Data? Recommendations for Researchers Based on a Simulation Study."" Sociological Methods & Research 51(2): 837–865. doi: 10.1177/0049124119882473'}",{'value': 'primary'},{'value': 'Simulation'},{'value': 'not applicable'},{'value': 'Lars Leszczensky and Tobias Wolbring'},{'value': 'not applicable'},{'value': ''},{'value': 'Our Stata code is publicly and permanently available at the Harvard Dataverse (Leszczensky and Wolbring 2019).'},{'value': 'Our Stata code is publicly and permanently available at the Harvard Dataverse (Leszczensky and Wolbring 2019).'}
0049124119882480.pdf,{'value': '10.1177/0049124119882480'},"{'value': 'Felderer, Barbara and Annelies G. Blom. ""Acceptance of the Automated Online Collection of Geographical Information."" Sociological Methods & Research 51, no. 2 (2022): 866–886. doi:10.1177/0049124119882480'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'GIP online panel'},{'value': 'not applicable'},{'value': 'GIP'},"{'value': '10.4232/1.12107, 10.4232/1.12610'}","{'value': 'This article uses data from GIP wave 1 (doi:10.4232/1.12107) and wave 4 (doi:10.4232/1.12610). The GIP data are published as Scientific Use Files in the GESIS Data Archive for the Social Sciences (GESIS-DAS). They can be retrieved from (https://dbk.gesis.org/dbksearch/GDesc2.asp?no¤0109&tab=¤&ll=¤10&notabs=¤1&db=¤E). However, this article researches informed consent regarding personal and sensitive data, in particular IP addresses and manually provided geographical information. For anonymity and data protection reasons, the personal and sensitive data cannot be stored at the GESIS-DAS. Instead, they can be accessed at the secure Onsite Data Access facilities of the Collaborative Research Center “Political Economy of Reforms” of the University of Mannheim, Germany.'}",{'value': ''}
0093650220939778.pdf,{'value': '10.1177/0093650220939778'},"{'value': 'Wolfers, Lara N., and Frank M. Schneider. ""Using Media for Coping: A Scoping Review."" Communication Research 2020, 1-25. doi:10.1177/0093650220939778'}",{'value': 'primary'},{'value': 'Content coding'},{'value': 'coding scheme'},{'value': 'Four trained coders'},{'value': 'not applicable'},{'value': ''},"{'value': 'Supplemental material for this article is available online (Online Appendices A, B, and C) and through OSF (https://osf.io/s3b5z/).'}",{'value': ''}
0093650220944790.pdf,{'value': '10.1177/0093650220944790'},"{'value': 'Chan, Chung-hong and Grill, Christiane. ""The Highs in Communication Research: Research Topics With High Supply, High Popularity, and High Prestige in High-Impact Journals."" Communication Research 49, no. 5 (2022): 599-626. doi:10.1177/0093650220944790'}",{'value': 'primary'},{'value': 'Automated data extraction'},{'value': 'custom-built web scrapers based on the Selenium framework'},{'value': 'authors'},{'value': 'not applicable'},{'value': ''},"{'value': 'To adhere to the open science principle, we share the data and software used in this study at: https://doi.org/10.17605/osf.io/uc359'}",{'value': 'https://doi.org/10.17605/osf.io/uc359'}
01425692.2020.pdf,{'value': '10.1080/01425692.2020.1799754'},"{'value': 'Dollmann, Jörg and Frida Rudolphi. ""Classroom composition and language skills: the role of school class and friend characteristics."" British Journal of Sociology of Education 41, no. 8 (2020): 1200-1217. doi:10.1080/01425692.2020.1799754'}",{'value': 'secondary'},{'value': 'Measurements and tests'},{'value': 'multiple-choice test'},{'value': 'not applicable'},{'value': 'Children of Immigrants Longitudinal Survey in Four European Countries (CILS4EU)'},{'value': ''},{'value': 'Supplemental data for this article is available online at https://doi.org/10.1080/01425692.2020.1799754.'},{'value': ''}
0143831x20944211.pdf,{'value': '10.1177/0143831X20944211'},"{'value': 'Mühlböck, Monika, Nadia Steiber, and Bernhard Kittel. ""Learning to keep the faith? Further education and perceived employability among young unemployed."" Economic and Industrial Democracy 43, no. 2 (2022): 705-725. doi:10.1177/0143831X20944211'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'questionnaires'},{'value': 'authors'},{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
0146167218820921.pdf,{'value': '10.1177/0146167218820921'},"{'value': 'Sieber, Vanda, Lavinia Flückiger, Jutta Mata, Katharina Bernecker, and Veronika Job. ""Autonomous Goal Striving Promotes a Nonlimited Theory About Willpower."" Personality and Social Psychology Bulletin 45, no. 8 (2019): 1295-1307. doi:10.1177/0146167218820921'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'questionnaire'},{'value': 'authors'},{'value': 'not applicable'},{'value': ''},{'value': 'Supplemental material is available online with this article.'},{'value': ''}
01461672211031080_.pdf,{'value': '10.1177/01461672211031080'},"{'value': 'Bruk, Anna, Sabine G. Scholl, and Herbert Bless. ""You and I Both: Self-Compassion Reduces Self–Other Differences in Evaluation of Showing Vulnerability."" Personality and Social Psychology Bulletin 48, no. 7 (2022): 1054–1067. https://doi.org/10.1177/01461672211031080'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'online questionnaire'},{'value': 'authors'},{'value': 'not applicable'},{'value': ''},"{'value': 'The data that support the findings of all four non-preregistered studies, the analyses code, the bookbook, and the materials are openly available in OSF at https://osf.io/mvpsw/?view_only=06aa074594334f5aa3a7902d0e72c9cb.'}",{'value': 'https://osf.io/mvpsw/?view_only=06aa074594334f5aa3a7902d0e72c9cb'}
0190272520936633.pdf,{'value': '10.1177/0190272520936633'},"{'value': 'Leszczensky, Lars and Sebastian Pink. ""Are Birds of a Feather Praying Together? Assessing Friends’ Influence on Muslim Youths’ Religiosity in Germany."" Social Psychology Quarterly 83, no. 3 (2020): 251–271. doi:10.1177/0190272520936633'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'paper-and-pencil questionnaires'},{'value': 'researchers'},{'value': 'not applicable'},{'value': ''},{'value': 'Supplemental material for this article is available online.'},{'value': ''}
0192513x19880934.pdf,{'value': '10.1177/0192513X19880934'},"{'value': 'Ehrlich, Ulrike, Katja Möhring, and Sonja Drobnič. ""What Comes after Caring? The Impact of Family Care on Women’s Employment."" Journal of Family Issues 41, no. 9 (2020): 1387–1419. doi:10.1177/0192513X19880934'}",{'value': 'secondary'},{'value': 'unclear'},{'value': 'unclear'},{'value': 'not applicable'},{'value': 'German Socio-Economic Panel (SOEP)'},{'value': ''},{'value': ''},{'value': ''}
01_CCR2021.1_CHAN.pdf,{'value': '10.5117/CCR2021.1.001.CHAN'},"{'value': 'Chan, Chung-hong, Joseph Bajjalieh, Loretta Auvil, Hartmut Wessler, Scott Althaus, Kasper Welbers, Wouter van Atteveldt, and Marc Jungblut. 2021. ""Four best practices for measuring news sentiment using ‘off-the-shelf’ dictionaries: a large-scale p-hacking experiment."" Computational Communication Research 3 (1): 1–27. doi: 10.5117/CCR2021.1.001.CHAN.'}",{'value': 'mixed'},{'value': 'Automated data extraction'},{'value': 'ProQuest Historical Newspapers'},{'value': 'authors'},{'value': 'American Presidency Project'},{'value': '10.17605/OSF.IO/UTXS5'},{'value': 'Source code and data are available at https://github.com/chainsawriot/ots/ Online appendix is available at https://doi.org/10.17605/OSF.IO/UTXS5'},{'value': 'https://github.com/chainsawriot/ots/'}
02.pdf,{'value': ''},"{'value': 'Trips, Carola. ""How to account for the expressive nature of phrasal compounds in a conceptual-semantic framework."" (n.d.).'}",{'value': 'secondary'},{'value': 'Automated data extraction'},{'value': 'BNCweb via the Lancaster interface'},{'value': 'not applicable'},{'value': 'British National Corpus (BNC)'},{'value': ''},{'value': ''},{'value': ''}
0263395720975970.pdf,{'value': '10.1177/0263395720975970'},"{'value': 'van der Brug, Wouter, Sebastian Adrian Popa, Sara B Hobolt, and Hermann Schmitt. ""Illiberal democratic attitudes and support for the EU."" Politics 41, no. 4 (2021): 537–561. doi:10.1177/0263395720975970.'}",{'value': 'secondary'},{'value': 'Self-administered questionnaire'},{'value': 'EES 2019'},{'value': 'not applicable'},{'value': 'EES 2019'},{'value': ''},{'value': 'Additional supplementary information may be found with the online version of this article.'},{'value': ''}
02_Maja%2BLinthe_Tandemseminar_final.pdf,{'value': ''},"{'value': 'Maja Linthe. ""Das Tandemseminar „Der Widerstand gegen den Nationalsozialismus in der deutschen Wikipedia“: ein Lehrexperiment mit forschendem Lernen im Open-Science-Format."" Diskurse Digital, 2022.'}",{'value': 'primary'},{'value': 'Self-administered writings and/or diaries'},{'value': 'Blogposts'},{'value': 'Maja Linthe'},{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
03057356211013396.pdf,{'value': '10.1177/03057356211013396'},"{'value': 'Lörch, Lucas. ""Chunking in tonal contexts: Information compression during serial recall of visually presented musical notes."" Psychology of Music 50, no. 3 (2022): 691-708. doi:10.1177/03057356211013396'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'Unipark'},{'value': 'Lucas Lörch'},{'value': 'not applicable'},{'value': ''},"{'value': 'Supplemental material for this article is available online and comprises stimuli, datasets and analysis code.'}",{'value': ''}
03080226221113505.pdf,{'value': '10.1177/03080226221113505'},"{'value': 'Meachon, Emily J, and Georg W Alpers. 2023. ""How are you getting by? Coping in developmental coordination disorder versus attention-deﬁcit/hyperactivity disorder."" British Journal of Occupational Therapy 86 (1): 42–52. doi:10.1177/03080226221113505'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'Brief COPE'},{'value': 'Emily J Meachon'},{'value': 'not applicable'},{'value': ''},"{'value': 'Upon publication, data for the present study will be made available to the public for free download on the University of Mannheim MADATA server at the following link: https://madata.bib.uni-mannheim.de/id/eprint/399.'}",{'value': ''}
0340-1650-2022-11-1.pdf,{'value': '10.15358/0340-1650-2022-11-1'},"{'value': 'Wambach, Achim. ""Klimaschutz lohnt sich."" Wirtschafts-wissenschaftliches Studium, no. 11 (November 2022): 1, doi:10.15358/0340-1650-2022-11-1.'}",{'value': 'no data'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
07.11.20.pr0.109.5.380-388.pdf,{'value': '10.2466/07.11.20.PR0.109.5.380-388'},"{'value': 'Dickhäuser, Oliver, Marc-André Reinhard, and Chris Englert. ""HOW TASK EXPERIENCE INFLUENCES STUDENTS’ PERFORMANCE EXPECTANCIES: THE ROLE OF CERTAINTY"". Psychological Reports, 109, no. 2 (2011): 380-388. doi:10.2466/07.11.20.PR0.109.5.380-388'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'questionnaire'},"{'value': 'Oliver Dickhäuser, Marc-André Reinhard, and Chris Englert'}",{'value': 'not applicable'},{'value': ''},{'value': ''},{'value': ''}
0734371x20932997.pdf,{'value': '10.1177/0734371X20932997'},"{'value': 'Sievert, Martin, Dominik Vogel, and Mary K. Feeney. ""Formalization and Administrative Burden as Obstacles to Employee Recruitment: Consequences for the Public Sector."" Review of Public Personnel Administration 2020, doi:10.1177/0734371X20932997.'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'online survey software'},{'value': 'authors'},{'value': 'not applicable'},{'value': '10.17605/OSF.IO/3B59H'},{'value': 'The data and analysis code are available at https://doi.org/10.17605/OSF.IO/3B59H.'},{'value': 'https://doi.org/10.17605/OSF.IO/3B59H'}
0738894219899006.pdf,{'value': '10.1177/0738894219899006'},"{'value': 'Carey, Sabine C, and Belén González. ""The legacy of war: The effect of militias on postwar repression."" Conflict Management and Peace Science 2020, 1-23. doi: 10.1177/0738894219899006.'}",{'value': 'secondary'},{'value': 'Compilation/Synthesis'},{'value': 'not applicable'},{'value': 'not applicable'},{'value': 'Pro-Government Militias Database (PGMD)'},{'value': ''},{'value': ''},{'value': ''}
0890207020962304.pdf,{'value': '10.1177/0890207020962304'},"{'value': 'Francis, Zoè, Jutta Mata, Lavinia Flückiger, and Veronika Job. ""Morning resolutions, evening disillusions: Theories of willpower affect how health behaviours change across the day."" European Journal of Personality 35, no. 3 (2021): 398–415. doi:10.1177/0890207020962304'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},"{'value': 'Willpower Theory questionnaire, experience-sampling surveys'}",{'value': 'the authors'},{'value': 'not applicable'},{'value': ''},{'value': 'The data and materials are permanently and openly accessible at https://osf.io/vyxw7/.'},{'value': 'https://osf.io/vyxw7/'}
0894439318816389.pdf,{'value': '10.1177/0894439318816389'},"{'value': 'Kreuter, Frauke, Georg-Christoph Haas, Florian Keusch, Sebastian Bähr, and Mark Trappmann. ""Collecting Survey and Smartphone Sensor Data With an App: Opportunities and Challenges Around Privacy and Informed Consent."" Social Science Computer Review 38, no. 5 (2020): 533-549. doi:10.1177/0894439318816389'}",{'value': 'primary'},{'value': 'Automated data extraction'},{'value': 'IAB-SMART app'},"{'value': 'Frauke Kreuter, Georg-Christoph Haas, Florian Keusch, Sebastian Ba¨hr, and Mark Trappmann'}",{'value': 'not applicable'},{'value': ''},"{'value': 'Data used in this article are available at the Institute for Employment Research (IAB). Up-to-date access information can be found here (https://www.iab.de/en/daten.aspx). For all analyses, author-originated code under Stata Version 14.2 was used. The code is available and archived at the Institute for Employment Research (IAB).'}",{'value': ''}
0894439320902461.pdf,{'value': '10.1177/0894439320902461'},"{'value': 'Jan Karem Ho¨hne, Dagmar Krebs, and Steffen-M. Ku¨hnel. ""Measuring Income (In)equality: Comparing Survey Questions With Unipolar and Bipolar Scales in a Probability-Based Online Panel."" Social Science Computer Review, 2020. doi: 10.1177/0894439320902461.'}",{'value': 'primary'},{'value': 'Experiment'},{'value': 'online survey'},{'value': 'German Internet Panel'},{'value': 'not applicable'},{'value': ''},{'value': 'The data used in this study will be available to the scientific community via the GESIS Data Archive for the Social Sciences.'},{'value': ''}
0894439320914261.pdf,{'value': '10.1177/0894439320914261'},"{'value': 'Wenz, Alexander, Annette Jäckle, Jonathan Burton, and Mick P. Couper. ""The Effects of Personalized Feedback on Participation and Reporting in Mobile App Data Collection."" Social Science Computer Review 40, no. 1 (2022): 165–178. doi:10.1177/0894439320914261'}",{'value': 'primary'},{'value': 'Self-administered questionnaire'},{'value': 'mobile app'},{'value': 'Kantar Public UK'},{'value': 'not applicable'},{'value': ''},"{'value': 'The data will be made available from the UK Data Service (https://ukdataservice.ac.uk/) by October 1, 2020.'}",{'value': 'The code is available in the Online Appendix.'}
